SN2008hv 0.013581 136.892 3.39225
filter u
54806.28192 17.13 0.013
54808.29569 16.186 0.01
54809.28356 15.903 0.009
54810.28794 15.698 0.009
54813.28424 15.408 0.014
54817.26045 15.42 0.011
54818.25787 15.495 0.01
54827.24825 16.43 0.01
54830.22596 16.918 0.011
54831.26196 17.092 0.011
54834.32137 17.601 0.013
54837.29765 17.969 0.015
54838.29123 18.07 0.016
54839.18042 18.196 0.018
54840.23017 18.302 0.023
54841.23294 18.424 0.03
54842.34796 18.498 0.035
54844.27229 18.563 0.034
54856.24627 19.094 0.027
54867.20131 19.363 0.035
54870.16538 19.409 0.073
54874.12874 19.446 0.064
54878.13951 19.587 0.033
54884.16258 19.739 0.033
54895.07915 19.897 0.053
filter B
54806.28192 16.492 0.007
54808.29569 15.769 0.005
54809.28356 15.53 0.005
54810.28794 15.342 0.006
54813.28424 15.006 0.006
54817.26045 14.909 0.006
54818.25787 14.938 0.006
54827.24825 15.585 0.004
54830.22596 15.963 0.006
54831.26196 16.1 0.005
54834.32137 16.496 0.006
54837.29765 16.847 0.007
54838.29123 16.956 0.008
54839.18042 17.071 0.007
54840.23017 17.165 0.01
54841.23294 17.293 0.012
54842.34796 17.387 0.011
54844.27229 17.526 0.017
54856.24627 18.036 0.011
54867.20131 18.272 0.011
54870.16538 18.316 0.022
54874.12874 18.381 0.018
54878.13951 18.454 0.013
54884.16258 18.548 0.011
54895.07915 18.707 0.01
filter V
54806.28192 16.327 0.006
54808.29569 15.691 0.005
54809.28356 15.465 0.006
54810.28794 15.296 0.005
54813.28424 14.959 0.005
54817.26045 14.822 0.006
54818.25787 14.826 0.007
54827.24825 15.25 0.004
54830.22596 15.454 0.007
54831.26196 15.508 0.005
54834.32137 15.702 0.006
54837.29765 15.894 0.006
54838.29123 15.945 0.007
54839.18042 16.043 0.007
54840.23017 16.122 0.007
54841.23294 16.203 0.009
54842.34796 16.303 0.006
54844.27229 16.458 0.009
54856.24627 17.047 0.011
54867.20131 17.355 0.01
54870.16538 17.469 0.009
54874.12874 17.579 0.012
54878.13951 17.67 0.011
54884.16258 17.804 0.011
54895.07915 18.127 0.008
filter g
54806.28192 16.352 0.007
54808.29569 15.647 0.004
54809.28356 15.406 0.005
54810.28794 15.208 0.006
54813.28424 14.889 0.005
54817.26045 14.788 0.006
54818.25787 14.798 0.005
54827.24825 15.31 0.005
54830.22596 15.589 0.007
54831.26196 15.703 0.006
54834.32137 16.028 0.006
54837.29765 16.347 0.004
54838.29123 16.449 0.007
54839.18042 16.572 0.007
54840.23017 16.694 0.008
54841.23294 16.8 0.009
54842.34796 16.906 0.007
54844.27229 17.063 0.011
54856.24627 17.574 0.01
54867.20131 17.819 0.009
54870.16538 17.912 0.014
54874.12874 17.942 0.012
54878.13951 18.01 0.01
54884.16258 18.104 0.014
54895.07915 18.307 0.006
filter r
54806.28192 16.379 0.009
54808.29569 15.728 0.004
54809.28356 15.494 0.008
54810.28794 15.295 0.007
54813.28424 15.012 0.005
54817.26045 14.87 0.007
54818.25787 14.861 0.007
54827.24825 15.44 0.004
54830.22596 15.602 0.009
54831.26196 15.631 0.007
54834.32137 15.683 0.008
54837.29765 15.729 0.004
54838.29123 15.742 0.008
54839.18042 15.798 0.006
54840.23017 15.859 0.007
54841.23294 15.924 0.008
54842.34796 16.014 0.005
54844.27229 16.162 0.008
54856.24627 16.826 0.01
54867.20131 17.239 0.008
54870.16538 17.353 0.01
54874.12874 17.466 0.009
54878.13951 17.601 0.014
54884.16258 17.783 0.017
54895.07915 18.18 0.01
filter i
54806.28192 16.705 0.009
54808.29569 15.984 0.006
54809.28356 15.739 0.01
54810.28794 15.558 0.009
54813.28424 15.394 0.006
54817.26045 15.531 0.009
54818.25787 15.54 0.008
54827.24825 16.248 0.007
54830.22596 16.325 0.009
54831.26196 16.305 0.009
54834.32137 16.211 0.009
54837.29765 16.11 0.006
54838.29123 16.054 0.01
54839.18042 16.053 0.008
54840.23017 16.05 0.009
54841.23294 16.076 0.009
54842.34796 16.131 0.006
54844.27229 16.265 0.009
54856.24627 17.05 0.013
54867.20131 17.52 0.015
54870.16538 17.656 0.015
54874.12874 17.816 0.015
54878.13951 17.966 0.022
54884.16258 18.152 0.024
54895.07915 18.57 0.017
filter Y
54804.28126 17.208 0.009
54811.29311 15.343 0.014
54812.26979 15.305 0.006
54815.32873 15.463 0.01
54822.30325 16.107 0.011
54828.28347 16.294 0.01
54829.23602 16.266 0.011
54833.26486 16.066 0.018
54839.18042 15.534 0.007
54849.27164 15.706 0.01
54854.2689 16.036 0.009
54868.14927 16.913 0.014
54875.13572 17.276 0.016
54887.16014 17.91 0.025
54889.16831 18.015 0.041
54895.07915 18.195 0.036
54899.11955 18.335 0.072
54912.19444 18.675 0.047
filter J
54804.28126 17.138 0.014
54811.29311 15.277 0.037
54812.26979 15.211 0.027
54815.32873 15.311 0.029
54822.30325 16.14 0.014
54828.28347 17.076 0.047
54829.23602 17.114 0.05
54833.26486 17.114 0.054
54839.18042 16.565 0.013
54849.27164 16.939 0.018
54854.2689 17.441 0.026
54868.14927 18.431 0.08
54875.13572 18.971 0.111
54887.16014 19.242 0.147
54899.11955 19.248 0.271
54912.19444 19.781 0.245
filter H
54804.28126 17.117 0.014
54811.29311 15.481 0.03
54812.26979 15.447 0.012
54822.30325 15.954 0.013
54828.28347 16.139 0.018
54829.23602 16.073 0.05
54833.26486 15.974 0.014
54839.18042 15.726 0.006
54849.27164 16.301 0.025
54854.2689 16.635 0.031
54868.14927 17.246 0.034
54875.13572 17.556 0.05
54887.16014 18.292 0.269
54889.16831 18.367 0.179
54895.07915 18.475 0.249
54899.11955 18.785 0.298
