SN2008ia 0.022597 132.646 -61.2779
filter u
54809.25527 17.547 0.015
54810.33148 17.483 0.012
54813.20101 17.449 0.018
54818.22786 17.896 0.016
54821.27591 18.222 0.015
54830.19575 19.636 0.043
54831.23247 19.71 0.04
54834.23865 20.205 0.062
54838.26162 20.534 0.08
54839.20517 20.592 0.115
54840.20037 20.448 0.153
54841.16817 20.651 0.202
54845.35624 20.675 0.236
54855.31562 21.127 0.117
54856.21615 21.334 0.154
filter B
54809.25527 16.828 0.008
54810.33148 16.749 0.009
54813.20101 16.737 0.009
54818.22786 16.936 0.009
54821.27591 17.195 0.009
54830.19575 18.315 0.013
54831.23247 18.419 0.015
54834.23865 18.705 0.021
54838.26162 19.123 0.024
54839.20517 19.21 0.03
54840.20037 19.313 0.035
54841.16817 19.394 0.044
54845.35624 19.849 0.069
54855.31562 19.962 0.044
54856.21615 19.924 0.047
filter V
54809.25527 16.645 0.009
54810.33148 16.572 0.009
54813.20101 16.502 0.009
54818.22786 16.616 0.009
54821.27591 16.764 0.009
54830.19575 17.372 0.011
54831.23247 17.433 0.01
54834.23865 17.599 0.012
54838.26162 17.952 0.016
54839.20517 18.037 0.013
54840.20037 18.098 0.014
54841.16817 18.208 0.017
54845.35624 18.475 0.02
54855.31562 18.848 0.028
54856.21615 18.875 0.023
filter g
54809.25527 16.661 0.007
54810.33148 16.598 0.007
54813.20101 16.624 0.016
54818.22786 16.726 0.008
54821.27591 16.932 0.009
54830.19575 17.803 0.01
54831.23247 17.931 0.011
54834.23865 18.24 0.012
54838.26162 18.683 0.018
54839.20517 18.752 0.018
54840.20037 18.956 0.048
54841.16817 18.998 0.037
54845.35624 19.436 0.08
54855.31562 19.449 0.027
54856.21615 19.515 0.022
filter r
54809.25527 16.542 0.009
54810.33148 16.511 0.009
54813.20101 16.402 0.007
54818.22786 16.52 0.009
54821.27591 16.824 0.021
54830.19575 17.186 0.009
54831.23247 17.205 0.01
54834.23865 17.256 0.009
54838.26162 17.595 0.029
54839.20517 17.576 0.012
54840.20037 17.66 0.011
54841.16817 17.721 0.014
54845.35624 17.991 0.016
54855.31562 18.471 0.019
54856.21615 18.462 0.018
filter i
54809.25527 16.824 0.01
54810.33148 16.831 0.01
54813.20101 16.915 0.009
54818.22786 17.094 0.012
54821.27591 17.387 0.021
54830.19575 17.519 0.018
54831.23247 17.532 0.013
54834.23865 17.444 0.017
54838.26162 17.441 0.018
54839.20517 17.536 0.012
54840.20037 17.61 0.017
54841.16817 17.74 0.017
54845.35624 18.194 0.058
54855.31562 18.632 0.03
54856.21615 18.5 0.042
filter Y
54811.22097 16.605 0.019
54812.32822 16.747 0.012
54815.27584 17.034 0.016
54816.25333 17.07 0.049
54823.2119 17.512 0.023
54828.23148 17.323 0.02
54833.20656 16.823 0.023
54840.20037 16.613 0.009
54841.16817 16.693 0.019
54843.18572 16.819 0.006
54847.24556 17.08 0.016
54854.33024 17.492 0.018
54857.22514 17.588 0.04
54872.20977 18.532 0.029
54874.16029 18.693 0.04
54912.13433 19.4 0.108
filter J
54811.22097 16.326 0.041
54812.32822 16.318 0.083
54815.27584 16.955 0.022
54816.25333 16.973 0.032
54823.2119 18.136 0.083
54828.23148 18.114 0.099
54833.20656 17.94 0.114
54840.20037 17.637 0.034
54841.16817 17.705 0.045
54843.18572 17.926 0.011
54847.24556 18.354 0.07
54854.33024 18.794 0.075
54857.22514 19.108 0.091
54872.20977 20.259 0.11
54874.16029 20.249 0.218
filter H
54811.22097 16.504 0.088
54812.32822 16.53 0.038
54815.27584 16.752 0.047
54816.25333 16.716 0.041
54823.2119 16.974 0.087
54828.23148 16.974 0.051
54833.20656 16.671 0.029
54840.20037 17.011 0.011
54841.16817 17.073 0.011
54843.18572 17.236 0.014
54854.33024 17.54 0.074
54857.22514 17.805 0.087
54872.20977 18.529 0.062
54874.16029 18.575 0.08
