Table 8 
Optical Photometry of SNe in Natural System of du Pont (+Tek5)^a


JD	u	g	r	i	B	V	
SN 2005hj							
2,453,678.68	18.592(033)	17.848(006)	17.748(009)	18.354(012)	17.927(009)	17.820(009)	
SN 2005ke							
2,453,967.85	0.000(000)	20.720(149)	0.000(000)	0.000(000)	20.661(143)	20.867(167)	
SN 2006bh							
2,453,828.88	0.000(000)	14.636(007)	14.672(024)	15.004(021)	14.724(006)	14.748(007)	
2,453,829.88	14.924(011)	14.523(009)	0.000(000)	0.000(000)	14.618(006)	14.663(009)	
2,453,830.89	14.880(011)	14.422(011)	14.519(014)	15.030(051)	14.544(006)	14.550(008)	
2,453,886.79	19.033(020)	17.543(043)	16.890(041)	17.064(041)	17.919(010)	17.139(050)	
2,453,892.78	19.236(036)	17.651(023)	17.209(030)	17.449(018)	18.001(008)	17.293(009)	
2,453,893.79	19.271(031)	17.657(011)	17.188(020)	17.490(016)	18.030(008)	17.320(009)	
SN 2006D							
2,453,828.83	0.000(000)	0.000(000)	17.471(005)	17.684(006)	0.000(000)	0.000(000)	
SN 2006eq							
2,454,022.50	0.000(000)	0.000(000)	0.000(000)	0.000(000)	0.000(000)	20.942(049)	
2,454,023.48	0.000(000)	0.000(000)	20.297(045)	0.000(000)	21.770(056)	0.000(000)	
2,454,024.46	0.000(000)	0.000(000)	20.294(069)	0.000(000)	21.672(093)	20.900(054)	
SN 2006et							
2,454,023.71	19.758(035)	17.918(009)	16.814(012)	0.000(000)	18.329(011)	0.000(000)	
2,454,024.59	19.893(032)	17.913(009)	16.754(017)	16.860(008)	18.371(008)	17.225(006)	
SN 2006ev							
2,454,023.50	0.000(000)	19.966(013)	18.669(009)	18.696(015)	20.307(025)	19.202(012)	
2,454,024.50	0.000(000)	0.000(000)	18.727(012)	18.850(027)	20.408(029)	19.288(016)	
SN 2006gt							
2,454,024.63	0.000(000)	20.317(013)	19.136(008)	19.039(011)	20.829(020)	19.621(012)	
SN 2006hx							
2,454,024.67	18.478(024)	17.516(022)	0.000(000)	0.000(000)	17.746(009)	17.584(020)	
SN 2007hx							
2,454,386.79	0.000(000)	21.427(046)	20.354(026)	19.936(035)	21.935(115)	21.048(056)	
SN 2007if							
2,454,386.67	0.000(000)	19.714(009)	18.635(005)	18.474(007)	20.277(021)	19.140(009)	
SN 2008C							
2,454,539.51	0.000(000)	18.907(016)	0.000(000)	18.664(018)	19.474(033)	18.620(016)	
SN 2008ia							
2,454,889.63	0.000(000)	20.031(022)	0.000(000)	0.000(000)	20.450(044)	19.791(028)	
2,454,890.75	0.000(000)	0.000(000)	0.000(000)	0.000(000)	0.000(000)	19.779(036)	
2,454,894.61	0.000(000)	20.096(021)	0.000(000)	0.000(000)	20.643(044)	19.937(027)	
SN 2008O							
2,454,531.55	0.000(000)	21.172(028)	19.927(017)	19.982(023)	21.438(073)	20.652(039)	
2,454,538.56	0.000(000)	21.401(073)	20.118(043)	20.277(068)	21.717(163)	20.772(067)	
2,454,539.65	0.000(000)	21.219(059)	20.158(031)	20.249(050)	0.000(000)	20.727(055)	
2,454,540.52	0.000(000)	21.220(053)	20.191(033)	20.240(048)	0.000(000)	20.827(079)	
SN 2009ag							
2,454,894.58	16.752(012)	15.365(015)	15.041(005)	15.535(005)	15.605(006)	15.200(005)	
SN 2009al							
2,454,894.67	16.544(042)	16.306(061)	16.351(066)	16.562(052)	16.360(033)	16.223(061)	
SN 2009cz							
2,454,951.46	0.000(000)	0.000(000)	0.000(000)	0.000(000)	0.000(000)	15.908(006)	
2,454,952.47	16.970(021)	15.932(006)	15.918(006)	16.661(006)	16.121(007)	0.000(000)	
2,454,954.47	17.225(024)	16.011(009)	15.979(006)	16.727(009)	16.242(007)	15.989(006)	
SN 2009ds							
2,454,952.46	16.682(014)	16.133(006)	16.063(008)	16.304(010)	16.228(007)	16.160(006)	
2,454,953.50	16.432(016)	15.909(008)	15.968(009)	16.262(012)	16.072(009)	0.000(000)	
2,454,954.46	0.000(000)	0.000(000)	0.000(000)	0.000(000)	0.000(000)	15.993(009)	
Note.
^a All photometry is measured in magnitudes. Values in parentheses are 1sigma uncertainties.
