Table 9 
V-band Photometry of SNe in Natural System of Swope (+SITe3)^a


UT Date	JD	Object	V	${\sigma }_{V}$	
2006 Jan 16	2,453,751.65	SN 2005eq	19.654	0.071	
2006 Jan 19	2,453,754.60	SN 2005gj	18.319	0.018	
2006 Jan 16	2,453,751.60	SN 2005hc	20.392	0.095	
2006 Jan 20	2,453,755.61	SN 2005hc	20.534	0.065	
2006 Jan 17	2,453,752.54	SN 2005hj	20.505	0.077	
2006 Jan 16	2,453,751.53	SN 2005hk	18.023	0.017	
2006 Jan 15	2,453,750.54	SN 2005iq	19.640	0.090	
2006 Jan 20	2,453,755.55	SN 2005iq	19.884	0.052	
2006 Jan 15	2,453,750.60	SN 2005ke	16.967	0.010	
2006 Jan 20	2,453,755.64	SN 2005ke	17.111	0.009	
2006 Jan 16	2,453,751.79	SN 2005ki	18.164	0.024	
2006 Jan 17	2,453,752.78	SN 2005ki	18.120	0.025	
2006 Jan 17	2,453,752.61	SN 2005lu	19.058	0.028	
2006 Jan 17	2,453,752.74	SN 2005mc	18.198	0.022	
2006 Jan 20	2,453,755.74	SN 2005mc	18.473	0.019	
2006 Jan 16	2,453,751.68	SN 2005na	16.570	0.007	
2006 Jan 19	2,453,754.69	SN 2005na	16.787	0.007	
2006 Jan 20	2,453,755.68	SN 2005na	16.851	0.008	
2006 Jan 16	2,453,751.83	SN 2006D	14.693	0.006	
2006 Jan 17	2,453,752.86	SN 2006D	14.538	0.006	
2006 Jan 19	2,453,754.77	SN 2006D	14.331	0.007	
Note.
^a All photometry is measured in magnitudes. Data taken using LC-3009 filter.
