SN2004eo 0.015700 308.225792 9.928528
filter B
 266.52 17.586 0.006
 267.52 17.129 0.006
 268.52 16.746 0.007
 269.54 16.459 0.005
 270.55 16.205 0.004
 271.55 16.022 0.005
 272.55 15.869 0.006
 273.54 15.755 0.005
 274.51 15.658 0.005
 275.52 15.584 0.006
 276.58 15.541 0.011
 277.51 15.507 0.006
 278.51 15.493 0.007
 279.52 15.497 0.005
 280.51 15.524 0.004
 281.51 15.566 0.004
 287.56 16.085 0.004
 288.56 16.200 0.006
 289.57 16.323 0.006
 290.57 16.454 0.006
 291.55 16.593 0.005
 292.55 16.727 0.006
 294.50 16.998 0.007
 295.50 17.113 0.007
 298.53 17.471 0.010
 300.51 17.650 0.010
 301.51 17.720 0.015
 302.51 17.805 0.015
 303.51 17.917 0.016
 304.52 17.971 0.036
 305.51 18.009 0.026
 307.55 18.212 0.033
 308.52 18.223 0.009
 309.51 18.293 0.009
 310.52 18.346 0.009
 311.52 18.382 0.009
 329.53 18.883 0.035
 341.54 18.995 0.037
filter V0
 266.52 17.356 0.010
 267.52 16.983 0.012
 268.52 16.671 0.010
 269.54 16.369 0.012
 270.55 16.160 0.009
 271.55 16.000 0.010
 272.55 15.852 0.011
 273.54 15.729 0.011
 274.51 15.627 0.011
 275.52 15.568 0.027
 276.58 15.494 0.015
 277.51 15.465 0.012
 278.51 15.443 0.012
 279.52 15.421 0.010
 280.51 15.418 0.009
 281.51 15.419 0.010
 285.55 15.586 0.056
 287.56 15.607 0.010
 288.56 15.688 0.010
 289.57 15.745 0.010
 290.57 15.820 0.009
 291.55 15.898 0.009
 292.55 15.978 0.010
 294.50 16.141 0.010
 295.50 16.199 0.011
 298.53 16.408 0.012
 300.51 16.547 0.013
 301.51 16.606 0.014
 302.51 16.684 0.013
 303.51 16.732 0.014
 304.52 16.802 0.089
 305.51 16.895 0.017
 307.55 16.994 0.024
 308.52 17.122 0.010
 309.51 17.186 0.011
 310.52 17.261 0.011
 311.52 17.300 0.011
 329.53 17.907 0.015
 341.54 18.150 0.029
filter r
 266.52 17.201 0.004
 267.52 16.825 0.005
 268.52 16.520 0.004
 271.55 15.849 0.004
 272.55 15.710 0.004
 273.54 15.597 0.004
 274.51 15.509 0.004
 275.52 15.448 0.008
 276.58 15.395 0.004
 280.51 15.319 0.004
 281.51 15.323 0.004
 287.56 15.557 0.004
 288.56 15.620 0.004
 289.57 15.689 0.004
 290.57 15.742 0.004
 291.55 15.784 0.004
 292.55 15.826 0.004
 294.50 15.894 0.004
 295.50 15.924 0.004
 298.53 16.021 0.005
 300.51 16.098 0.009
 301.51 16.150 0.004
 302.51 16.191 0.004
 303.51 16.258 0.005
 304.52 16.313 0.004
 305.51 16.384 0.006
 307.55 16.536 0.005
 308.52 16.619 0.004
 309.51 16.692 0.006
 310.52 16.763 0.005
 311.52 16.829 0.005
 312.51 16.889 0.005
 321.54 17.281 0.007
 329.53 17.534 0.009
 341.54 17.918 0.013
filter i
 266.52 17.379 0.007
 267.52 16.984 0.007
 268.52 16.660 0.006
 271.55 16.023 0.004
 272.55 15.903 0.006
 273.54 15.808 0.006
 274.51 15.760 0.004
 275.52 15.731 0.005
 276.58 15.731 0.004
 277.51 15.764 0.007
 278.51 15.801 0.008
 279.52 15.830 0.008
 280.51 15.849 0.004
 281.51 15.864 0.004
 282.51 15.889 0.008
 287.56 16.134 0.004
 288.56 16.190 0.006
 289.57 16.226 0.005
 290.57 16.252 0.004
 291.55 16.253 0.004
 292.55 16.246 0.005
 294.50 16.213 0.004
 295.50 16.209 0.007
 298.53 16.190 0.008
 300.51 16.206 0.009
 301.51 16.231 0.005
 302.51 16.239 0.004
 303.51 16.254 0.005
 304.52 16.256 0.013
 305.51 16.340 0.007
 307.55 16.458 0.006
 308.52 16.549 0.005
 309.51 16.629 0.007
 310.52 16.712 0.007
 311.52 16.788 0.006
 312.51 16.861 0.007
 321.54 17.314 0.009
 329.53 17.621 0.011
 341.54 18.063 0.026
