SN2005A 0.019100 37.680208 -2.938833
filter B
 376.65 18.404 0.013
 377.62 18.376 0.013
 380.59 18.317 0.016
 381.59 18.349 0.014
 383.63 18.423 0.016
 385.58 18.496 0.015
 386.59 18.559 0.015
 387.62 18.612 0.022
 389.55 18.807 0.028
 390.55 18.914 0.029
 391.62 18.978 0.036
 394.56 19.328 0.050
 396.54 19.654 0.050
 397.54 19.739 0.048
 400.60 19.867 0.032
 404.61 20.265 0.030
 407.56 20.571 0.116
filter V0
 376.65 17.450 0.010
 377.62 17.366 0.010
 381.59 17.283 0.013
 383.63 17.306 0.010
 385.58 17.334 0.011
 386.59 17.413 0.013
 387.62 17.449 0.012
 389.55 17.557 0.017
 390.55 17.612 0.017
 391.62 17.699 0.018
 394.56 17.885 0.018
 396.54 17.995 0.015
 398.58 18.090 0.020
 399.58 18.131 0.014
 400.60 18.158 0.017
 404.61 18.382 0.017
 406.59 18.538 0.020
 407.56 18.635 0.021
 408.57 18.709 0.021
 409.56 18.798 0.022
 410.55 18.853 0.018
 411.57 18.870 0.033
 412.56 18.961 0.026
 414.57 19.055 0.026
 415.57 19.029 0.023
 416.57 19.185 0.029
 418.56 19.231 0.027
 420.57 19.366 0.066
filter r
 376.65 16.971 0.009
 377.62 16.927 0.009
 380.59 16.828 0.009
 381.59 16.836 0.010
 383.63 16.867 0.009
 385.58 16.922 0.008
 386.59 16.985 0.013
 387.62 17.053 0.009
 389.55 17.188 0.013
 390.55 17.264 0.010
 391.62 17.307 0.010
 394.56 17.397 0.011
 397.54 17.424 0.010
 398.58 17.425 0.011
 399.58 17.428 0.009
 400.60 17.413 0.010
 404.61 17.560 0.010
 406.59 17.699 0.010
 407.56 17.767 0.016
 408.57 17.854 0.013
 409.56 17.949 0.011
 410.55 18.027 0.015
 411.57 18.070 0.013
 412.56 18.165 0.013
 413.56 18.222 0.025
 414.57 18.253 0.015
 415.57 18.276 0.015
 416.57 18.359 0.016
 418.56 18.441 0.013
 420.57 18.483 0.018
 425.55 18.674 0.028
 429.55 18.787 0.018
 432.52 18.876 0.016
filter i
 376.65 17.156 0.010
 377.62 17.179 0.011
 380.59 17.170 0.014
 381.59 17.203 0.011
 383.63 17.236 0.013
 385.58 17.306 0.009
 386.59 17.346 0.013
 387.62 17.439 0.012
 389.55 17.600 0.017
 390.55 17.642 0.012
 391.62 17.660 0.015
 396.54 17.555 0.011
 397.54 17.534 0.010
 398.58 17.524 0.011
 399.58 17.480 0.011
 400.60 17.446 0.012
 404.61 17.362 0.010
 406.59 17.372 0.010
 407.56 17.438 0.011
 408.57 17.509 0.013
 409.56 17.582 0.015
 411.57 17.713 0.014
 412.56 17.861 0.014
 413.56 17.847 0.022
 414.57 17.965 0.015
 415.57 18.040 0.015
 416.57 18.081 0.018
 418.56 18.172 0.020
 420.57 18.208 0.019
 425.55 18.467 0.030
 427.56 18.499 0.036
 429.55 18.607 0.026
 432.52 18.734 0.021
