SN2005am 0.007900 139.051958 -16.304444
filter B
 436.63 13.859 0.004
 438.60 13.887 0.005
 444.65 14.354 0.009
 445.64 14.473 0.008
 446.64 14.612 0.006
 452.57 15.454 0.011
 453.56 15.599 0.008
 454.58 15.714 0.011
 455.65 15.880 0.011
 456.56 15.970 0.010
 457.57 16.066 0.010
 458.54 16.181 0.010
 459.67 16.307 0.010
 460.50 16.393 0.011
 461.50 16.453 0.011
 464.53 16.686 0.011
 465.53 16.746 0.012
 466.52 16.786 0.012
 467.63 16.825 0.012
 468.53 16.863 0.011
 472.50 16.967 0.013
 473.48 17.012 0.012
 474.50 17.020 0.012
 475.49 17.057 0.014
 476.49 17.049 0.015
 477.48 17.084 0.013
 478.48 17.120 0.017
 479.48 17.049 0.027
 480.48 17.136 0.017
 481.47 17.168 0.014
 482.51 17.136 0.022
 483.51 17.187 0.016
 489.50 17.301 0.015
 490.46 17.291 0.019
 512.46 17.551 0.020
filter V0
 436.63 13.792 0.003
 438.60 13.776 0.005
 444.65 13.986 0.007
 445.64 14.053 0.006
 452.57 14.553 0.009
 453.56 14.630 0.007
 454.58 14.704 0.008
 455.65 14.780 0.007
 456.56 14.855 0.007
 457.57 14.940 0.007
 458.54 15.050 0.006
 459.67 15.166 0.007
 460.50 15.244 0.007
 461.50 15.350 0.008
 464.53 15.569 0.009
 465.53 15.639 0.007
 466.52 15.680 0.007
 467.63 15.727 0.006
 468.53 15.779 0.008
 472.50 15.934 0.007
 473.48 15.958 0.007
 474.50 15.999 0.007
 475.49 16.037 0.007
 478.48 16.122 0.009
 479.48 16.097 0.029
 480.48 16.197 0.011
 481.47 16.211 0.009
 482.51 16.261 0.013
 483.51 16.277 0.011
 489.50 16.450 0.009
 512.46 17.079 0.015
filter r
 436.63 13.767 0.004
 438.60 13.733 0.005
 451.56 14.405 0.008
 454.58 14.449 0.006
 455.65 14.484 0.006
 456.56 14.532 0.005
 457.57 14.601 0.007
 458.54 14.683 0.005
 459.67 14.793 0.006
 465.53 15.291 0.006
 466.52 15.357 0.006
 467.63 15.410 0.005
 472.50 15.633 0.006
 474.50 15.707 0.007
 475.49 15.744 0.007
 479.48 15.920 0.019
 480.48 15.950 0.009
 481.47 15.994 0.008
 483.51 16.040 0.009
 489.50 16.262 0.009
 490.46 16.308 0.009
filter i
 436.63 14.303 0.004
 438.60 14.340 0.008
 446.64 14.905 0.008
 451.56 14.782 0.019
 454.58 14.708 0.009
 455.65 14.691 0.008
 456.56 14.688 0.006
 458.54 14.747 0.006
 459.67 14.828 0.006
 464.53 15.281 0.008
 465.53 15.364 0.008
 466.52 15.434 0.008
 467.63 15.487 0.006
 472.50 15.765 0.008
 473.48 15.820 0.008
 474.50 15.865 0.008
 475.49 15.920 0.008
 479.48 16.117 0.028
 480.48 16.147 0.009
 481.47 16.168 0.010
 482.51 16.218 0.016
 489.50 16.505 0.010
 490.46 16.554 0.010
