SN2005eq 0.029000 47.205458 -7.033250
filter B
 650.81 16.613 0.008
 655.77 16.576 0.007
 658.71 16.656 0.010
 659.69 16.685 0.009
 662.77 16.799 0.009
 663.73 16.871 0.010
 665.71 16.998 0.008
 666.76 17.081 0.008
 669.73 17.368 0.007
 671.77 17.566 0.008
 673.77 17.795 0.009
 675.74 18.001 0.012
 682.79 18.645 0.037
 683.74 18.720 0.014
 687.75 18.939 0.026
 694.73 19.340 0.026
 698.67 19.506 0.021
 699.70 19.536 0.019
 707.75 19.699 0.029
 712.69 19.748 0.022
 721.63 19.770 0.066
 726.69 19.871 0.051
 730.70 20.010 0.024
 737.66 20.112 0.032
 741.62 20.125 0.050
 746.65 20.151 0.072
 751.66 20.124 0.093
filter V0
 650.81 16.520 0.006
 655.77 16.465 0.009
 658.71 16.495 0.008
 659.69 16.516 0.009
 662.77 16.606 0.012
 663.73 16.644 0.009
 665.71 16.737 0.009
 666.76 16.782 0.008
 669.73 16.949 0.008
 671.77 17.078 0.009
 673.77 17.169 0.010
 675.74 17.270 0.013
 682.79 17.632 0.041
 683.74 17.694 0.012
 687.75 17.870 0.017
 694.73 18.273 0.016
 698.67 18.459 0.015
 699.70 18.529 0.017
 707.75 18.769 0.022
 712.69 18.884 0.019
 721.63 19.070 0.038
 726.69 19.233 0.028
 730.70 19.267 0.027
 737.66 19.456 0.031
 741.62 19.516 0.030
 746.65 19.671 0.055
filter r
 650.81 16.552 0.007
 655.77 16.413 0.007
 658.71 16.453 0.007
 659.69 16.476 0.008
 662.77 16.589 0.008
 663.73 16.635 0.009
 665.71 16.747 0.008
 666.76 16.801 0.009
 669.73 16.987 0.006
 671.77 17.060 0.008
 673.77 17.112 0.009
 675.74 17.155 0.010
 682.79 17.291 0.014
 683.74 17.307 0.009
 687.75 17.403 0.012
 694.73 17.822 0.015
 698.67 18.014 0.010
 699.70 18.089 0.013
 707.75 18.349 0.018
 712.69 18.498 0.012
 721.63 18.762 0.023
 726.69 18.913 0.020
 730.70 19.075 0.022
 737.66 19.194 0.020
 741.62 19.337 0.019
 746.65 19.484 0.033
 751.66 19.652 0.056
filter i
 650.81 16.945 0.009
 655.77 17.029 0.009
 658.71 17.117 0.009
 659.69 17.154 0.012
 662.77 17.257 0.011
 663.73 17.352 0.013
 665.71 17.462 0.013
 666.76 17.561 0.013
 669.73 17.742 0.010
 671.77 17.782 0.011
 673.77 17.803 0.013
 675.74 17.742 0.016
 682.79 17.633 0.030
 683.74 17.631 0.014
 687.75 17.592 0.016
 694.73 17.924 0.016
 698.67 18.152 0.014
 699.70 18.248 0.016
 707.75 18.564 0.031
 712.69 18.832 0.021
 721.63 19.142 0.033
 726.69 19.319 0.034
 730.70 19.536 0.042
 737.66 19.620 0.043
 741.62 19.743 0.041
 746.65 20.007 0.059
 751.66 20.052 0.073
