SN2005hc 0.045900 29.199750 -0.213722
filter B
 662.72 17.513 0.013
 663.69 17.476 0.009
 665.66 17.413 0.007
 666.72 17.398 0.007
 669.65 17.442 0.006
 671.74 17.514 0.007
 673.72 17.624 0.008
 675.70 17.736 0.008
 682.75 18.382 0.045
 684.70 18.555 0.011
 687.71 18.873 0.020
 690.73 19.141 0.041
 695.75 19.583 0.030
 699.65 19.910 0.021
 703.69 20.193 0.027
 713.55 20.459 0.047
 722.63 20.675 0.062
 726.63 20.706 0.040
 730.66 20.759 0.043
 737.59 20.896 0.037
 739.63 20.876 0.045
 740.61 20.968 0.054
 755.61 21.066 0.105
filter V0
 662.72 17.557 0.012
 663.69 17.499 0.009
 665.66 17.411 0.008
 666.72 17.396 0.008
 669.65 17.401 0.007
 671.74 17.416 0.008
 673.72 17.456 0.009
 675.70 17.528 0.010
 682.75 17.919 0.016
 684.70 18.005 0.010
 687.71 18.164 0.012
 690.73 18.358 0.020
 695.75 18.639 0.015
 699.65 18.869 0.014
 703.69 19.132 0.017
 713.55 19.559 0.021
 722.63 19.796 0.030
 726.63 19.892 0.023
 730.66 20.026 0.024
 737.59 20.161 0.030
 739.63 20.192 0.032
 740.61 20.126 0.034
 746.58 20.290 0.066
filter r
 662.72 17.573 0.009
 663.69 17.511 0.009
 665.66 17.421 0.009
 666.72 17.395 0.008
 669.65 17.368 0.006
 671.74 17.377 0.008
 673.72 17.441 0.009
 675.70 17.517 0.009
 682.75 17.890 0.018
 684.70 17.971 0.011
 687.71 18.046 0.015
 690.73 18.081 0.014
 695.75 18.218 0.010
 699.65 18.374 0.010
 703.69 18.621 0.013
 713.55 19.108 0.014
 730.66 19.594 0.018
 737.59 19.811 0.019
 739.63 19.858 0.020
 740.61 19.834 0.025
 746.58 19.991 0.032
 751.62 20.186 0.082
 755.61 20.279 0.030
filter i
 662.72 17.966 0.017
 663.69 17.949 0.011
 665.66 17.982 0.011
 666.72 17.970 0.011
 669.65 18.031 0.009
 671.74 18.060 0.013
 673.72 18.103 0.015
 675.70 18.205 0.014
 682.75 18.596 0.083
 684.70 18.750 0.017
 687.71 18.714 0.023
 690.73 18.656 0.021
 695.75 18.598 0.015
 699.65 18.557 0.019
 703.69 18.750 0.018
 713.55 19.328 0.024
 722.63 19.642 0.031
 726.63 19.935 0.034
 730.66 19.980 0.039
 737.59 20.290 0.045
 739.63 20.267 0.054
 740.61 20.360 0.050
