SN2005hj 0.057400 21.701125 -1.238000
filter B
 671.67 17.891 0.009
 673.66 17.858 0.011
 675.64 17.887 0.010
 682.69 18.210 0.022
 683.66 18.239 0.013
 690.68 18.696 0.048
 695.70 19.353 0.025
 702.66 19.923 0.028
 707.72 20.277 0.075
 712.60 20.591 0.066
 729.63 21.111 0.128
 739.60 21.052 0.082
 752.55 21.334 0.101
 761.57 21.251 0.121
filter V0
 671.67 17.808 0.009
 673.66 17.765 0.010
 675.64 17.805 0.015
 682.69 17.959 0.022
 683.66 18.011 0.012
 690.68 18.304 0.033
 695.70 18.659 0.014
 702.66 19.046 0.017
 707.72 19.190 0.028
 712.60 19.691 0.031
 725.63 20.150 0.044
 729.63 20.201 0.052
 739.60 20.367 0.046
 747.57 20.511 0.128
filter V
 761.57 20.681 0.073
filter r
 671.67 17.840 0.011
 673.66 17.745 0.013
 675.64 17.735 0.015
 682.69 17.867 0.014
 683.66 17.931 0.014
 690.68 18.245 0.025
 695.70 18.460 0.017
 702.66 18.626 0.016
 707.72 18.782 0.022
 712.60 19.071 0.025
 725.63 19.586 0.031
 729.63 19.472 0.035
 739.60 19.783 0.047
 747.57 19.818 0.055
 752.55 20.024 0.049
 761.57 19.879 0.065
filter i
 671.67 18.293 0.015
 673.66 18.346 0.014
 675.64 18.387 0.016
 682.69 18.514 0.022
 683.66 18.530 0.021
 690.68 19.140 0.043
 695.70 19.178 0.029
 702.66 19.016 0.021
 707.72 18.800 0.032
 712.60 19.153 0.029
 725.63 19.693 0.037
 729.63 19.912 0.093
 739.60 20.112 0.077
 747.57 20.398 0.108
 752.55 20.328 0.084
 761.57 20.816 0.105
