SN2005hk 0.013000 6.961958 -1.238000
filter B
 675.61 16.830 0.009
 682.58 15.978 0.006
 683.58 15.930 0.006
 684.62 15.920 0.007
 687.59 15.961 0.007
 689.66 16.118 0.009
 690.61 16.185 0.008
 694.65 16.688 0.009
 695.64 16.829 0.008
 698.59 17.286 0.009
 699.62 17.428 0.009
 702.63 17.793 0.014
 706.66 18.166 0.015
 712.57 18.429 0.018
 720.57 18.647 0.030
 725.60 18.766 0.020
 728.61 18.823 0.022
 730.62 18.797 0.021
 736.56 18.875 0.015
 739.56 18.933 0.015
 745.55 18.951 0.048
 748.57 19.034 0.067
 751.55 19.069 0.028
 761.54 19.194 0.026
filter V0
 675.61 16.866 0.010
 682.58 15.937 0.006
 683.58 15.877 0.007
 684.62 15.825 0.007
 687.59 15.730 0.009
 689.66 15.765 0.008
 690.61 15.762 0.007
 694.65 15.932 0.008
 695.64 15.981 0.007
 698.59 16.240 0.006
 699.62 16.324 0.007
 702.63 16.585 0.008
 706.66 16.887 0.009
 712.57 17.182 0.011
 720.57 17.471 0.015
 725.60 17.574 0.012
 728.61 17.663 0.010
 730.62 17.700 0.011
 736.56 17.787 0.009
 739.56 17.845 0.010
 745.55 17.930 0.019
 748.57 17.995 0.024
filter V
 761.54 18.186 0.013
filter r
 675.61 16.893 0.009
 682.58 15.945 0.005
 683.58 15.878 0.007
 684.62 15.833 0.009
 687.59 15.734 0.008
 689.66 15.701 0.007
 690.61 15.684 0.004
 694.65 15.709 0.006
 695.64 15.726 0.008
 698.59 15.869 0.004
 699.62 15.924 0.004
 702.63 16.108 0.006
 706.66 16.376 0.009
 712.57 16.669 0.009
 720.57 16.966 0.007
 725.60 17.127 0.008
 728.61 17.202 0.008
 730.62 17.267 0.007
 736.56 17.396 0.007
 739.56 17.475 0.007
 745.55 17.588 0.011
 748.57 17.657 0.012
 751.55 17.733 0.011
 761.54 17.983 0.010
filter i
 675.61 17.106 0.012
 682.58 16.170 0.005
 683.58 16.104 0.009
 684.62 16.064 0.010
 687.59 15.943 0.010
 689.66 15.885 0.009
 690.61 15.870 0.005
 694.65 15.779 0.009
 695.64 15.783 0.008
 698.59 15.846 0.005
 699.62 15.875 0.006
 702.63 16.005 0.008
 706.66 16.210 0.009
 712.57 16.495 0.010
 720.57 16.811 0.009
 725.60 16.982 0.010
 728.61 17.066 0.009
 730.62 17.135 0.008
 736.56 17.289 0.008
 739.56 17.367 0.009
 745.55 17.500 0.012
 748.57 17.564 0.013
 751.55 17.666 0.014
 761.54 17.841 0.012
