SN2005kc 0.015100 338.530583 5.568417
filter B
 687.52 17.266 0.014
 689.57 16.749 0.011
 690.54 16.592 0.009
 694.58 16.157 0.008
 695.59 16.091 0.009
 698.55 16.047 0.007
 699.54 16.064 0.009
 702.55 16.188 0.008
 706.56 16.477 0.009
 712.53 17.188 0.012
 716.54 17.725 0.019
 720.54 18.152 0.035
 728.54 18.754 0.035
filter V0
 687.52 17.010 0.013
 689.57 16.502 0.011
 690.54 16.347 0.008
 694.58 15.899 0.007
 695.59 15.852 0.009
 698.55 15.769 0.006
 699.54 15.758 0.008
 702.55 15.803 0.007
 706.56 15.930 0.007
 712.53 16.343 0.010
 716.54 16.630 0.010
 720.54 16.848 0.011
 728.54 17.345 0.014
filter r
 687.52 16.798 0.011
 689.57 16.294 0.009
 690.54 16.133 0.008
 694.58 15.730 0.009
 695.59 15.668 0.008
 698.55 15.615 0.006
 699.54 15.596 0.007
 702.55 15.633 0.006
 706.56 15.825 0.009
 712.53 16.200 0.009
 716.54 16.316 0.006
 720.54 16.384 0.008
filter i
 687.52 16.804 0.013
 689.57 16.345 0.010
 690.54 16.196 0.009
 694.58 15.893 0.009
 695.59 15.893 0.009
 698.55 15.987 0.006
 699.54 15.999 0.010
 702.55 16.097 0.007
 706.56 16.325 0.011
 712.53 16.619 0.011
 716.54 16.544 0.010
 720.54 16.475 0.009
 728.54 16.645 0.011
