SN2005ke 0.004900 53.768125 -24.944111
filter B
 689.69 16.631 0.011
 690.77 16.143 0.010
 694.76 15.219 0.009
 695.72 15.104 0.007
 698.72 14.901 0.006
 699.72 14.929 0.012
 702.71 15.128 0.012
 703.77 15.297 0.013
 706.72 15.767 0.014
 707.83 15.925 0.008
 712.71 16.574 0.012
 713.68 16.638 0.012
 716.67 16.845 0.009
 720.68 17.027 0.012
 721.66 17.094 0.011
 725.72 17.236 0.011
 730.72 17.383 0.011
 736.67 17.525 0.014
 737.68 17.559 0.013
 741.65 17.638 0.011
 746.68 17.733 0.017
 750.62 17.821 0.016
 755.64 17.943 0.015
 761.70 18.096 0.015
 763.59 18.098 0.016
 764.60 18.116 0.015
 765.59 18.155 0.021
 767.55 18.186 0.012
 771.57 18.251 0.016
 773.58 18.298 0.016
 775.42 18.339 0.020
 778.57 18.364 0.023
 784.55 18.522 0.016
 786.56 18.549 0.022
 798.54 18.810 0.022
 804.57 18.855 0.029
 809.54 19.090 0.084
 819.51 19.154 0.026
filter V0
 689.69 16.247 0.010
 690.77 15.768 0.009
 694.76 14.755 0.008
 695.72 14.619 0.010
 698.72 14.300 0.006
 699.72 14.250 0.009
 702.71 14.253 0.011
 703.77 14.291 0.009
 706.72 14.562 0.011
 707.83 14.691 0.010
 712.71 15.193 0.010
 713.68 15.288 0.008
 716.67 15.527 0.006
 720.68 15.813 0.010
 721.66 15.879 0.010
 725.72 16.106 0.009
 730.72 16.335 0.009
 736.67 16.540 0.009
 737.68 16.569 0.010
 741.65 16.721 0.009
 746.68 16.870 0.011
filter V
 761.70 17.319 0.011
 763.59 17.370 0.014
 764.60 17.412 0.013
 765.59 17.444 0.015
 767.55 17.490 0.009
 771.57 17.604 0.012
 773.58 17.662 0.015
 775.42 17.722 0.014
 778.57 17.802 0.018
 784.55 17.970 0.015
 786.56 18.053 0.016
 798.54 18.373 0.019
 804.57 18.509 0.025
 809.54 18.649 0.049
 819.51 18.989 0.029
filter r
 689.69 16.140 0.008
 690.77 15.672 0.008
 694.76 14.658 0.006
 695.72 14.520 0.008
 698.72 14.175 0.006
 703.77 14.075 0.006
 706.72 14.237 0.011
 707.83 14.311 0.006
 712.71 14.718 0.006
 713.68 14.818 0.007
 716.67 15.047 0.006
 720.68 15.405 0.008
 721.66 15.497 0.006
 725.72 15.773 0.006
 730.72 16.056 0.008
 736.67 16.346 0.008
 737.68 16.388 0.008
 741.65 16.578 0.007
 746.68 16.798 0.009
 750.62 16.961 0.009
 755.64 17.201 0.009
 761.70 17.470 0.009
 763.59 17.549 0.011
 764.60 17.594 0.012
 765.59 17.639 0.013
 767.55 17.736 0.009
 771.57 17.889 0.012
 773.58 17.990 0.014
 775.42 18.066 0.015
 778.57 18.195 0.016
 784.55 18.434 0.018
 786.56 18.508 0.017
 798.54 18.968 0.019
 804.57 19.226 0.055
 809.54 19.371 0.049
 819.51 19.741 0.038
filter i
 689.69 16.169 0.009
 690.77 15.752 0.009
 694.76 14.807 0.008
 695.72 14.695 0.008
 698.72 14.397 0.007
 699.72 14.346 0.010
 702.71 14.335 0.011
 703.77 14.335 0.007
 706.72 14.431 0.013
 707.83 14.468 0.006
 712.71 14.713 0.007
 713.68 14.787 0.008
 716.67 14.989 0.006
 720.68 15.340 0.009
 721.66 15.433 0.008
 725.72 15.735 0.006
 730.72 16.025 0.009
 736.67 16.319 0.008
 737.68 16.364 0.011
 741.65 16.544 0.008
 746.68 16.742 0.011
 750.62 16.910 0.009
 755.64 17.096 0.009
 761.70 17.310 0.011
 763.59 17.374 0.012
 764.60 17.407 0.011
 765.59 17.426 0.016
 767.55 17.476 0.010
 771.57 17.595 0.013
 773.58 17.661 0.015
 775.42 17.698 0.014
 778.57 17.777 0.017
 784.55 17.960 0.015
 786.56 18.000 0.018
 798.54 18.271 0.019
 804.57 18.426 0.028
 809.54 18.510 0.029
 819.51 18.688 0.027
