SN2006X 0.005200 185.724958 15.809194
filter B
 775.68 16.697 0.007
 778.86 15.908 0.008
 780.87 15.604 0.009
 783.72 15.408 0.007
 784.83 15.373 0.007
 785.81 15.363 0.007
 786.84 15.361 0.007
 788.85 15.419 0.007
 790.80 15.509 0.007
 795.78 15.898 0.006
 798.80 16.226 0.007
 799.80 16.319 0.007
 802.79 16.646 0.009
 804.78 16.844 0.009
 805.74 16.928 0.011
 809.74 17.242 0.023
 815.72 17.731 0.014
 818.79 17.905 0.016
 824.75 18.125 0.013
 831.71 18.190 0.014
 832.78 18.215 0.013
 835.67 18.244 0.016
 838.70 18.277 0.042
 841.74 18.331 0.022
 845.66 18.288 0.013
 850.67 18.372 0.014
 853.67 18.419 0.013
 858.60 18.499 0.027
 862.67 18.514 0.021
 866.62 18.497 0.023
 870.64 18.569 0.033
 872.63 18.606 0.018
 890.59 18.904 0.024
 891.59 18.860 0.025
 906.46 19.137 0.021
filter V
 775.68 15.495 0.005
 778.86 14.799 0.007
 780.87 14.520 0.006
 783.72 14.271 0.006
 784.83 14.217 0.006
 785.81 14.184 0.009
 786.84 14.146 0.006
 788.85 14.120 0.007
 790.80 14.130 0.006
 795.78 14.338 0.004
 798.80 14.558 0.006
 799.80 14.616 0.004
 802.79 14.784 0.006
 804.78 14.867 0.005
 805.74 14.921 0.007
 809.74 15.101 0.007
 815.72 15.494 0.008
 818.79 15.727 0.008
 819.77 15.786 0.008
 824.75 15.994 0.006
 831.71 16.219 0.010
 832.78 16.243 0.008
 835.67 16.329 0.007
 838.70 16.413 0.009
 841.74 16.504 0.009
 845.66 16.561 0.007
 850.67 16.716 0.007
 853.67 16.802 0.007
 858.60 16.929 0.009
 862.67 17.033 0.010
 866.62 17.116 0.010
 870.64 17.223 0.009
 872.63 17.264 0.011
 890.59 17.661 0.010
 891.59 17.698 0.011
 906.46 18.031 0.013
filter r
 775.68 14.800 0.004
 778.86 14.187 0.007
 783.72 13.780 0.006
 785.81 13.698 0.007
 786.84 13.672 0.007
 788.85 13.642 0.007
 790.80 13.686 0.007
 795.78 13.978 0.006
 798.80 14.180 0.008
 799.80 14.206 0.006
 802.79 14.275 0.008
 804.78 14.288 0.006
 805.74 14.301 0.008
 809.74 14.334 0.007
 815.72 14.647 0.007
 818.79 14.907 0.007
 819.77 14.975 0.009
 824.75 15.227 0.005
 831.71 15.495 0.010
 832.78 15.524 0.006
 835.67 15.630 0.007
 838.70 15.738 0.006
 841.74 15.831 0.006
 845.66 15.943 0.006
 850.67 16.121 0.008
 853.67 16.214 0.008
 858.60 16.372 0.008
 862.67 16.504 0.007
 866.62 16.624 0.009
 870.64 16.751 0.007
 872.63 16.814 0.009
 890.59 17.371 0.008
 891.59 17.401 0.008
filter i
 775.68 14.927 0.006
 778.86 14.179 0.007
 783.72 13.839 0.006
 784.83 13.828 0.008
 785.81 13.854 0.008
 786.84 13.883 0.006
 788.85 13.919 0.008
 790.80 13.970 0.005
 795.78 14.320 0.006
 798.80 14.501 0.007
 799.80 14.507 0.006
 802.79 14.443 0.008
 804.78 14.357 0.006
 805.74 14.331 0.008
 809.74 14.218 0.007
 815.72 14.313 0.008
 818.79 14.549 0.006
 819.77 14.623 0.012
 824.75 14.928 0.006
 831.71 15.247 0.012
 832.78 15.282 0.007
 835.67 15.393 0.007
 838.70 15.502 0.006
 841.74 15.625 0.006
 845.66 15.735 0.006
 850.67 15.944 0.009
 853.67 16.050 0.009
 858.60 16.229 0.007
 862.67 16.352 0.007
 866.62 16.490 0.008
 870.64 16.625 0.007
 872.63 16.671 0.010
 890.59 17.203 0.009
 891.59 17.251 0.009
