SN2006ej 0.020500 9.749042 -9.015722
filter B
 981.71 16.079 0.008
 986.68 16.563 0.011
 998.66 18.053 0.013
1001.60 18.331 0.014
1003.61 18.503 0.016
1008.60 18.815 0.019
1012.59 18.925 0.044
1017.74 19.031 0.054
1018.70 19.152 0.034
1025.64 19.154 0.019
1040.61 19.419 0.037
1046.74 19.544 0.083
filter V
 979.74 15.851 0.008
 981.71 15.917 0.010
 986.68 16.201 0.011
 998.66 17.037 0.009
1001.60 17.284 0.012
1003.61 17.469 0.010
1008.60 17.791 0.012
1012.59 17.953 0.016
1017.74 18.165 0.029
1018.70 18.160 0.015
1025.64 18.375 0.014
1040.61 18.734 0.021
1046.74 18.869 0.039
filter r
 986.68 16.277 0.009
1008.60 17.398 0.010
1012.59 17.575 0.012
1017.74 17.774 0.024
1018.70 17.839 0.010
filter i
 986.68 17.074 0.011
1001.60 16.992 0.013
1008.60 17.565 0.010
1012.59 17.813 0.016
1017.74 18.029 0.036
1018.70 18.138 0.013
