SN2006eq 0.049500 322.154708 1.228194
filter B
 981.64 18.857 0.021
 983.53 19.029 0.056
 986.62 19.440 0.080
 988.55 19.749 0.040
 991.62 20.244 0.038
 994.54 20.573 0.037
 998.52 21.061 0.102
1001.51 21.315 0.061
1003.52 21.357 0.106
1007.54 21.524 0.083
1008.51 21.544 0.115
1018.51 21.743 0.098
filter V
 981.64 18.462 0.017
 983.53 18.541 0.055
 986.62 18.725 0.038
 988.55 18.859 0.018
 991.62 19.168 0.018
 994.54 19.495 0.020
 998.52 19.757 0.036
1001.51 20.049 0.034
1003.52 20.252 0.034
1007.54 20.523 0.052
1008.51 20.340 0.060
1018.51 20.833 0.054
filter r
 981.64 18.294 0.011
 983.53 18.311 0.022
 986.62 18.477 0.022
 988.55 18.582 0.016
 991.62 18.777 0.015
 994.54 18.951 0.013
 998.52 19.188 0.028
1001.51 19.417 0.019
1003.52 19.584 0.020
1007.54 19.900 0.024
1008.51 19.950 0.028
1013.52 20.353 0.114
1014.62 20.225 0.107
1018.51 20.404 0.041
1029.51 20.750 0.049
filter i
 981.64 18.652 0.018
 983.53 18.634 0.037
 986.62 18.909 0.036
 988.55 19.043 0.021
 991.62 19.019 0.025
 994.54 19.028 0.020
 998.52 19.108 0.038
1001.51 19.243 0.026
1003.52 19.407 0.028
1007.54 19.790 0.040
1008.51 19.845 0.038
1013.52 20.161 0.113
1014.62 19.963 0.115
1018.51 20.413 0.056
