SN2006et 0.022600 10.690917 -23.558444
filter B
 986.71 16.425 0.009
 988.58 16.245 0.007
 991.67 16.052 0.007
 994.74 16.033 0.006
 998.69 16.171 0.006
1001.63 16.337 0.009
1003.65 16.461 0.008
1007.68 16.803 0.009
1008.64 16.897 0.009
1012.54 17.297 0.013
1013.62 17.416 0.012
1017.78 17.808 0.021
1025.67 18.448 0.015
1029.70 18.703 0.015
1039.68 19.068 0.024
1044.63 19.076 0.076
1046.58 19.206 0.025
1052.61 19.321 0.023
1060.55 19.393 0.024
1066.62 19.466 0.025
1091.56 19.728 0.030
filter V
 986.71 16.323 0.009
 988.58 16.131 0.007
 991.67 15.937 0.008
 994.74 15.889 0.007
 998.69 15.919 0.006
1001.63 16.032 0.010
1003.65 16.087 0.008
1007.68 16.300 0.008
1008.64 16.390 0.009
1012.54 16.594 0.009
1013.62 16.658 0.008
1017.78 16.837 0.015
1025.67 17.290 0.010
1029.70 17.540 0.009
1039.68 18.006 0.014
1044.63 18.158 0.031
1046.58 18.165 0.015
1052.61 18.321 0.014
1060.55 18.497 0.015
1066.62 18.646 0.018
1076.56 18.852 0.018
1091.56 19.189 0.023
1099.54 19.331 0.057
filter r
 983.64 16.854 0.015
 986.71 16.317 0.009
 988.58 16.112 0.006
 991.67 15.918 0.006
 994.74 15.829 0.008
 998.69 15.843 0.006
1001.63 15.934 0.006
1003.65 16.015 0.009
1007.68 16.292 0.010
1008.64 16.350 0.010
1012.54 16.470 0.006
1013.62 16.498 0.006
1017.78 16.553 0.016
1029.70 17.017 0.007
1033.70 17.282 0.011
1039.68 17.547 0.010
1044.63 17.675 0.017
1046.58 17.759 0.011
1052.61 17.957 0.013
1060.55 18.172 0.014
1066.62 18.354 0.013
1076.56 18.619 0.015
1091.56 19.035 0.018
1099.54 19.321 0.033
filter i
 986.71 16.542 0.009
 988.58 16.363 0.007
 991.67 16.314 0.007
 994.74 16.380 0.007
 998.69 16.476 0.006
1001.63 16.571 0.010
1003.65 16.695 0.008
1007.68 16.963 0.010
1012.54 17.019 0.009
1013.62 17.008 0.010
1017.78 16.906 0.015
1025.67 16.877 0.008
1029.70 17.068 0.009
1033.70 17.333 0.012
1039.68 17.677 0.015
1044.63 17.703 0.022
1046.58 17.946 0.013
1052.61 18.170 0.017
1060.55 18.500 0.021
1066.62 18.636 0.017
1076.56 19.015 0.022
1091.56 19.444 0.036
