SN2006ev 0.028700 322.746917 13.989222
filter B
 994.59 17.583 0.009
 998.56 17.948 0.010
1001.55 18.304 0.014
1003.57 18.595 0.015
1007.58 19.085 0.020
1008.55 19.192 0.025
1014.56 19.896 0.144
1018.56 20.073 0.044
1025.55 20.406 0.050
filter V
 994.59 17.276 0.007
 998.56 17.456 0.007
1001.55 17.654 0.011
1003.57 17.787 0.012
1007.58 18.082 0.011
1008.55 18.128 0.012
1014.56 18.591 0.048
1018.56 18.893 0.020
1025.55 19.311 0.025
1038.53 19.665 0.050
filter r
 994.59 17.156 0.006
 998.56 17.392 0.006
1001.55 17.623 0.011
1003.57 17.721 0.009
1007.58 17.821 0.009
1008.55 17.837 0.010
1014.56 18.017 0.018
1018.56 18.375 0.015
1025.55 18.815 0.018
1038.53 19.251 0.027
filter i
 994.59 17.671 0.011
 998.56 18.049 0.013
1001.55 18.270 0.016
1003.57 18.294 0.014
1007.58 18.209 0.014
1008.55 18.184 0.014
1014.56 18.100 0.022
1018.56 18.300 0.017
1025.55 18.884 0.026
1038.53 19.474 0.039
