SN2006gj 0.028400 49.399167 -1.691722
filter B
 998.83 17.989 0.012
1001.87 17.981 0.014
1003.89 18.108 0.014
1007.84 18.527 0.020
1013.78 19.366 0.057
1029.77 21.013 0.134
1038.82 21.293 0.123
1039.81 21.363 0.186
1052.73 21.594 0.165
1060.73 21.618 0.166
1066.79 21.789 0.157
1069.67 21.616 0.175
filter V
 998.83 17.701 0.010
1001.87 17.636 0.014
1003.89 17.643 0.012
1007.84 17.839 0.012
1013.78 18.299 0.026
1029.77 19.671 0.044
1036.78 19.940 0.041
1038.82 19.962 0.045
1039.81 19.966 0.052
1042.70 20.105 0.080
1048.74 20.358 0.087
1052.73 20.438 0.070
1056.69 20.471 0.063
1060.73 20.557 0.062
1066.79 20.769 0.085
1069.67 20.962 0.116
1079.73 21.186 0.145
filter r
 998.83 17.499 0.008
1001.87 17.416 0.011
1003.89 17.426 0.009
1007.84 17.668 0.011
1013.78 17.964 0.014
1029.77 19.063 0.017
1036.78 19.381 0.024
1038.82 19.488 0.030
1039.81 19.460 0.022
1042.70 19.603 0.036
1048.74 19.829 0.048
1052.73 19.934 0.034
1056.69 20.092 0.048
1060.73 20.225 0.040
1066.79 20.456 0.057
1069.67 20.502 0.066
1079.73 21.041 0.114
1084.70 21.151 0.091
1096.59 21.715 0.193
filter i
 998.83 17.653 0.013
1001.87 17.690 0.014
1003.89 17.705 0.017
1007.84 18.077 0.015
1013.78 18.203 0.017
1029.77 18.912 0.023
1036.78 19.299 0.035
1038.82 19.425 0.040
1039.81 19.492 0.037
1042.70 19.585 0.047
1048.74 19.900 0.051
1052.73 19.981 0.044
1056.69 20.107 0.058
1060.73 20.187 0.057
1066.79 20.491 0.093
1079.73 20.836 0.146
