SN2006gt 0.044800 14.072083 -1.629444
filter B
1001.67 18.417 0.013
1003.69 18.379 0.013
1007.71 18.646 0.015
1008.68 18.759 0.017
1018.75 20.425 0.098
1028.69 21.049 0.042
1036.66 21.240 0.059
1039.64 21.607 0.158
1052.64 21.717 0.078
1056.65 21.642 0.092
1066.58 21.923 0.119
filter V
1001.67 18.226 0.012
1003.69 18.115 0.011
1007.71 18.149 0.012
1008.68 18.204 0.013
1018.75 19.176 0.028
1028.69 19.901 0.026
1036.66 20.339 0.040
1039.64 20.548 0.073
1046.62 20.551 0.122
1052.64 20.777 0.051
1066.58 21.068 0.078
1076.62 21.150 0.190
filter r
1001.67 18.215 0.013
1003.69 18.112 0.012
1007.71 18.104 0.010
1008.68 18.120 0.009
1018.75 18.727 0.016
1028.69 19.445 0.020
1036.66 19.952 0.026
1039.64 20.105 0.035
1046.62 20.298 0.066
1052.64 20.553 0.041
1056.65 20.720 0.058
1066.58 21.060 0.076
1076.62 21.399 0.168
filter i
1001.67 18.353 0.014
1003.69 18.342 0.015
1007.71 18.453 0.015
1008.68 18.506 0.015
1018.75 18.848 0.024
1028.69 19.364 0.026
1036.66 19.996 0.043
1039.64 20.015 0.043
1046.62 20.452 0.095
1052.64 20.664 0.058
1056.65 20.718 0.113
1066.58 21.264 0.100
