SN2006hb 0.015300 75.505333 -21.131972
filter B
1007.88 15.890 0.007
1008.87 15.982 0.007
1013.82 16.651 0.007
1014.85 16.800 0.008
1017.87 17.244 0.011
1018.86 17.375 0.010
1020.88 17.610 0.009
1025.84 18.062 0.009
1029.84 18.325 0.012
1038.85 18.677 0.013
1040.80 18.722 0.015
1042.80 18.761 0.018
1049.82 18.917 0.018
1068.80 19.279 0.018
1076.74 19.430 0.047
1085.70 19.583 0.023
1091.78 19.656 0.025
1096.69 19.756 0.028
1099.68 19.776 0.054
1104.75 19.817 0.097
1108.72 19.924 0.033
1119.66 20.155 0.023
1121.66 20.219 0.027
1125.62 20.323 0.029
1131.68 20.307 0.063
1133.63 20.472 0.138
1136.66 20.394 0.065
1143.59 20.667 0.033
filter V
1007.88 15.524 0.006
1008.87 15.576 0.009
1013.82 15.947 0.005
1014.85 16.026 0.009
1017.87 16.302 0.011
1018.86 16.380 0.008
1020.88 16.557 0.009
1025.84 16.973 0.008
1029.84 17.290 0.009
1038.85 17.690 0.010
1042.80 17.840 0.012
1049.82 18.016 0.015
1068.80 18.530 0.016
1076.74 18.737 0.024
1085.70 18.974 0.019
1091.78 19.104 0.022
1096.69 19.242 0.022
1099.68 19.373 0.067
1104.75 19.404 0.077
1108.72 19.547 0.034
1119.66 19.771 0.032
1121.66 19.839 0.035
1125.62 19.963 0.042
1133.63 20.102 0.120
1136.66 19.939 0.061
1143.59 20.241 0.044
filter r
1007.88 15.553 0.008
1008.87 15.615 0.008
1013.82 15.924 0.004
1017.87 16.083 0.011
1018.86 16.131 0.009
1020.88 16.221 0.008
1025.84 16.579 0.005
1029.84 16.946 0.008
1038.85 17.436 0.009
1040.80 17.510 0.011
1042.80 17.589 0.010
1049.82 17.849 0.010
1068.80 18.382 0.016
1076.74 18.808 0.018
1085.70 19.174 0.019
1091.78 19.407 0.023
1096.69 19.576 0.018
1099.68 19.666 0.033
1104.75 19.789 0.067
1108.72 19.974 0.039
1119.66 20.351 0.040
1121.66 20.343 0.035
1125.62 20.471 0.048
1131.68 20.478 0.083
1133.63 20.568 0.111
1136.66 20.652 0.081
1143.59 20.966 0.071
filter i
1007.88 16.105 0.009
1008.87 16.179 0.009
1013.82 16.413 0.007
1017.87 16.345 0.019
1018.86 16.370 0.011
1020.88 16.371 0.009
1025.84 16.551 0.008
1029.84 16.945 0.009
1038.85 17.499 0.010
1040.80 17.397 0.015
1042.80 17.682 0.014
1049.82 17.983 0.013
1068.80 18.693 0.017
1076.74 18.948 0.027
1085.70 19.208 0.024
1091.78 19.445 0.033
1096.69 19.517 0.029
1099.68 19.642 0.043
1104.75 19.745 0.073
1108.72 19.853 0.042
1119.66 20.050 0.056
1121.66 20.199 0.063
1125.62 20.199 0.052
1131.68 20.369 0.073
1133.63 20.271 0.101
1136.66 20.473 0.086
1143.59 20.537 0.063
