SN2006os 0.032800 43.754583 16.009667
filter B
1065.63 18.132 0.012
1066.75 18.195 0.013
1069.63 18.291 0.017
1073.65 18.685 0.055
1075.64 18.827 0.041
1080.67 19.461 0.027
1084.62 19.902 0.034
1087.60 20.214 0.038
1091.60 20.581 0.067
filter V
1065.63 17.779 0.011
1066.75 17.768 0.009
1069.63 17.831 0.013
1073.65 17.952 0.022
1075.64 18.119 0.019
1080.67 18.394 0.013
1084.62 18.681 0.017
1087.60 18.835 0.017
1091.60 19.134 0.020
1096.57 19.418 0.041
1102.61 19.734 0.082
1105.60 19.777 0.051
1108.61 19.892 0.031
1121.61 20.221 0.041
filter r
1065.63 17.505 0.009
1066.75 17.486 0.007
1069.63 17.524 0.010
1073.65 17.701 0.016
1075.64 17.830 0.012
1080.67 18.057 0.010
1084.62 18.154 0.010
1087.60 18.222 0.012
1091.60 18.408 0.012
1096.57 18.765 0.016
1102.61 19.181 0.059
1105.60 19.175 0.021
1108.61 19.340 0.015
1121.61 19.691 0.023
1128.59 20.026 0.052
1133.56 20.140 0.072
filter i
1065.63 17.856 0.014
1066.75 17.875 0.012
1069.63 17.904 0.014
1073.65 18.158 0.027
1075.64 18.289 0.021
1080.67 18.373 0.018
1084.62 18.316 0.017
1087.60 18.270 0.016
1096.57 18.490 0.029
1102.61 18.924 0.049
1105.60 19.103 0.024
1108.61 19.257 0.027
1121.61 19.765 0.047
1128.59 19.991 0.070
1133.56 20.235 0.100
