SN2007S 0.013900 150.130250 4.407278
filter B
1133.84 16.853 0.019
1137.80 16.196 0.011
1143.76 15.899 0.013
1153.77 16.274 0.011
1154.66 16.348 0.012
1158.71 16.697 0.012
1160.68 16.892 0.014
1161.67 17.000 0.015
1165.72 17.381 0.016
1166.67 17.613 0.059
1169.69 17.720 0.015
1174.75 18.078 0.016
1185.69 18.691 0.020
1194.62 18.895 0.034
1199.60 18.953 0.021
1203.71 19.045 0.020
1213.63 19.139 0.021
1246.54 19.538 0.087
filter V
1133.84 16.481 0.012
1137.80 15.863 0.007
1143.76 15.552 0.012
1153.77 15.690 0.007
1154.66 15.728 0.007
1158.71 15.957 0.007
1160.68 16.082 0.007
1161.67 16.132 0.008
1165.72 16.331 0.008
1166.67 16.370 0.008
1169.69 16.513 0.010
1174.75 16.751 0.007
1185.69 17.383 0.009
1194.62 17.680 0.014
1199.60 17.804 0.016
1203.71 17.905 0.013
1213.63 18.161 0.014
filter r
1133.84 16.339 0.010
1137.80 15.730 0.007
1143.76 15.373 0.014
1147.73 15.342 0.006
1154.66 15.589 0.009
1158.71 15.858 0.010
1160.68 15.949 0.006
1161.67 15.987 0.007
1165.72 16.059 0.009
1166.67 16.071 0.006
1169.69 16.115 0.008
1174.75 16.210 0.006
1185.69 16.834 0.009
1194.62 17.192 0.009
1199.60 17.358 0.012
1203.71 17.473 0.009
1213.63 17.775 0.010
1224.56 18.097 0.016
1246.54 18.749 0.027
filter i
1133.84 16.433 0.013
1137.80 15.831 0.007
1143.76 15.759 0.017
1147.73 15.867 0.007
1154.66 16.185 0.009
1158.71 16.462 0.011
1160.68 16.509 0.007
1161.67 16.483 0.011
1165.72 16.443 0.010
1166.67 16.428 0.008
1169.69 16.371 0.009
1174.75 16.314 0.007
1185.69 16.821 0.009
1194.62 17.257 0.013
1199.60 17.476 0.016
1203.71 17.652 0.015
1213.63 17.996 0.015
1224.56 18.332 0.017
