SN2007ai 0.031700 243.223917 -21.630194
filter B
1172.89 18.158 0.012
1174.88 18.221 0.013
1179.89 18.412 0.016
1181.86 18.544 0.015
1182.83 18.610 0.016
1185.87 18.831 0.016
1190.87 19.290 0.027
1194.87 19.774 0.069
1199.79 19.989 0.049
1200.87 20.154 0.072
1203.89 20.466 0.046
1213.83 21.056 0.087
1231.88 21.458 0.140
1235.78 21.431 0.075
1243.79 21.584 0.117
filter V
1172.89 17.808 0.013
1174.88 17.793 0.012
1179.89 17.860 0.012
1181.86 17.927 0.013
1182.83 17.985 0.014
1185.87 18.136 0.013
1190.87 18.418 0.015
1194.87 18.663 0.025
1199.79 18.864 0.020
1200.87 18.897 0.024
1203.89 19.061 0.027
1213.83 19.663 0.032
1227.87 20.253 0.066
1231.88 20.232 0.071
1235.78 20.306 0.048
1243.79 20.580 0.067
filter r
1172.89 17.622 0.014
1174.88 17.578 0.015
1179.89 17.626 0.018
1181.86 17.690 0.016
1182.83 17.712 0.017
1185.87 17.890 0.012
1190.87 18.134 0.016
1194.87 18.196 0.018
1199.79 18.304 0.017
1200.87 18.350 0.017
1203.89 18.422 0.018
1213.83 18.971 0.033
1227.87 19.510 0.050
1231.88 19.611 0.055
1235.78 19.752 0.053
1243.79 20.029 0.057
1259.70 20.419 0.109
filter i
1172.89 17.857 0.022
1174.88 17.903 0.018
1179.89 18.013 0.018
1181.86 18.080 0.020
1182.83 18.138 0.025
1185.87 18.332 0.019
1190.87 18.518 0.026
1194.87 18.456 0.026
1199.79 18.417 0.027
1200.87 18.414 0.029
1203.89 18.392 0.029
1213.83 18.799 0.034
1227.87 19.457 0.048
1231.88 19.638 0.074
1235.78 19.764 0.067
1243.79 20.123 0.103
