SN2007as 0.017600 141.900042 -80.177556
filter B
1181.70 15.972 0.005
1182.72 15.994 0.006
1185.62 16.103 0.006
1190.70 16.478 0.008
1194.57 16.925 0.009
1203.75 17.996 0.011
1207.58 18.357 0.012
1213.53 18.782 0.020
1218.61 19.034 0.040
1224.53 19.136 0.044
1227.60 19.207 0.041
1229.55 19.254 0.023
1231.58 19.204 0.020
1236.50 19.302 0.033
1239.52 19.356 0.022
1243.56 19.402 0.032
1245.53 19.379 0.040
1259.49 19.604 0.035
filter V
1181.70 15.822 0.004
1182.72 15.806 0.006
1185.62 15.829 0.004
1190.70 16.039 0.005
1194.57 16.316 0.006
1197.59 16.515 0.006
1203.75 16.852 0.006
1207.58 17.123 0.008
1213.53 17.583 0.008
1218.61 17.840 0.013
1224.53 18.023 0.017
1227.60 18.112 0.015
1229.55 18.201 0.013
1231.58 18.246 0.016
1236.50 18.396 0.025
1239.52 18.466 0.013
1243.56 18.614 0.021
1245.53 18.624 0.017
1259.49 18.940 0.020
filter r
1181.70 15.732 0.006
1182.72 15.713 0.006
1185.62 15.729 0.005
1190.70 16.076 0.005
1194.57 16.378 0.006
1197.59 16.474 0.007
1203.75 16.523 0.007
1207.58 16.675 0.007
1213.53 17.141 0.008
1218.61 17.433 0.009
1224.53 17.648 0.011
1227.60 17.760 0.010
1229.55 17.829 0.009
1231.58 17.877 0.010
1236.50 18.069 0.011
1239.52 18.184 0.010
1243.56 18.336 0.014
1245.53 18.377 0.015
1259.49 18.836 0.018
filter i
1181.70 16.318 0.006
1182.72 16.337 0.008
1185.62 16.383 0.006
1190.70 16.837 0.007
1194.57 17.099 0.009
1197.59 17.103 0.009
1203.75 16.865 0.007
1207.58 16.798 0.007
1213.53 17.238 0.008
1218.61 17.576 0.011
1224.53 17.869 0.011
1227.60 18.023 0.016
1229.55 18.112 0.012
1231.58 18.200 0.015
1236.50 18.402 0.019
1239.52 18.523 0.025
1243.56 18.678 0.026
1245.53 18.774 0.027
1259.49 19.232 0.043
