SN2007ax 0.006900 125.680250 22.554694
filter B
1185.56 16.568 0.008
1190.62 16.521 0.010
1194.52 17.111 0.010
1197.56 17.626 0.015
1207.51 18.559 0.072
1213.47 18.641 0.027
1219.49 18.789 0.038
1224.47 19.023 0.046
1229.48 19.164 0.037
1235.46 19.348 0.036
1239.46 19.450 0.041
1246.46 19.479 0.075
filter V
1185.56 15.995 0.007
1190.62 15.667 0.006
1194.52 15.947 0.006
1197.56 16.323 0.008
1207.51 17.261 0.016
1213.47 17.552 0.016
1219.49 17.776 0.019
1224.47 18.034 0.019
1229.48 18.230 0.022
1235.46 18.472 0.025
1239.46 18.530 0.024
1246.46 18.767 0.042
filter r
1185.56 15.893 0.007
1190.62 15.445 0.006
1194.52 15.553 0.006
1197.56 15.849 0.006
1207.51 16.866 0.013
1213.47 17.232 0.011
1219.49 17.496 0.012
1224.47 17.775 0.016
1229.48 17.999 0.019
1235.46 18.360 0.023
1239.46 18.530 0.028
1246.46 18.791 0.038
filter i
1185.56 16.080 0.009
1190.62 15.588 0.007
1194.52 15.602 0.008
1197.56 15.779 0.008
1207.51 16.743 0.016
1213.47 17.051 0.012
1218.50 17.294 0.019
1224.47 17.630 0.019
1229.48 17.739 0.025
1235.46 18.185 0.030
1239.46 18.315 0.032
1246.46 18.398 0.045
