SN2007ba 0.038500 229.177625 7.396611
filter B
1190.83 18.628 0.024
1194.84 17.965 0.017
1197.85 17.922 0.016
1200.85 18.100 0.016
1202.88 18.316 0.015
1203.85 18.468 0.014
1207.79 19.111 0.017
1211.81 19.712 0.047
1213.77 19.954 0.030
1218.85 20.322 0.061
1227.79 20.659 0.110
1229.79 20.739 0.106
1232.73 20.905 0.069
1235.71 20.956 0.055
1243.74 21.135 0.092
1246.70 21.066 0.151
filter V
1190.83 18.415 0.018
1194.84 17.787 0.014
1197.85 17.623 0.011
1200.85 17.600 0.011
1202.88 17.685 0.009
1203.85 17.731 0.009
1207.79 18.137 0.010
1211.81 18.574 0.015
1213.77 18.760 0.013
1218.85 19.246 0.029
1224.74 19.524 0.083
1227.79 19.776 0.050
1229.79 19.781 0.045
1232.73 19.859 0.036
1243.74 20.234 0.047
1246.70 20.491 0.089
1255.61 20.541 0.130
filter r
1190.83 18.248 0.026
1194.84 17.662 0.018
1197.85 17.484 0.014
1200.85 17.396 0.015
1202.88 17.451 0.019
1203.85 17.486 0.026
1207.79 17.717 0.028
1211.81 17.967 0.027
1213.77 18.066 0.032
1218.85 18.450 0.035
1224.74 18.982 0.047
1227.79 18.989 0.049
1229.79 19.075 0.053
filter i
1190.83 18.255 0.038
1194.84 17.718 0.024
1197.85 17.676 0.024
1200.85 17.658 0.027
1202.88 17.757 0.031
1203.85 17.901 0.033
1207.79 18.015 0.038
1211.81 18.078 0.033
1213.77 18.064 0.038
1218.85 18.288 0.042
1224.74 18.778 0.046
1243.74 20.073 0.074
