SN2007bm 0.006200 171.259583 -9.798278
filter B
1224.67 14.553 0.004
1227.65 14.618 0.003
1229.58 14.706 0.003
1231.66 14.851 0.004
1235.59 15.225 0.005
1239.61 15.710 0.004
1241.56 15.959 0.005
1249.56 16.802 0.014
1255.57 17.227 0.010
1259.56 17.420 0.010
filter V
1224.67 14.140 0.004
1227.65 14.129 0.003
1229.58 14.160 0.004
1231.66 14.233 0.005
1235.59 14.438 0.008
1239.61 14.730 0.004
1241.56 14.871 0.006
1249.56 15.335 0.005
1255.57 15.755 0.005
1259.56 15.991 0.006
filter r
1229.58 13.995 0.004
1231.66 14.098 0.006
1239.61 14.552 0.005
1241.56 14.611 0.006
1249.56 14.836 0.004
1255.57 15.237 0.004
1259.56 15.502 0.008
filter i
1224.67 14.314 0.007
1227.65 14.403 0.005
1229.58 14.448 0.005
1231.66 14.577 0.007
1235.59 14.832 0.009
1239.61 14.859 0.007
1241.56 14.816 0.006
1249.56 14.746 0.004
1255.57 15.029 0.004
1259.56 15.333 0.007
