SN2007ca 0.014100 202.774208 -15.101833
filter B
1218.68 16.820 0.007
1224.71 16.174 0.010
1227.73 16.117 0.007
1229.69 16.143 0.005
1231.74 16.220 0.006
1232.70 16.271 0.006
1235.66 16.422 0.008
1239.67 16.729 0.006
1243.70 17.130 0.007
1246.64 17.406 0.010
1255.70 18.310 0.021
1259.63 18.563 0.022
filter V
1218.68 16.575 0.007
1224.71 15.902 0.007
1227.73 15.819 0.006
1229.69 15.829 0.006
1231.74 15.861 0.006
1232.70 15.888 0.006
1235.66 15.995 0.008
1239.67 16.203 0.006
1243.70 16.426 0.006
1246.64 16.579 0.007
1255.70 17.065 0.008
1259.63 17.290 0.010
filter r
1218.68 16.402 0.006
1224.71 15.796 0.009
1227.73 15.700 0.004
1229.69 15.692 0.004
1231.74 15.739 0.004
1232.70 15.760 0.004
1235.66 15.893 0.007
1239.67 16.174 0.007
1243.70 16.417 0.004
1246.64 16.484 0.004
1255.70 16.636 0.006
1259.63 16.781 0.006
filter i
1218.68 16.464 0.005
1224.71 16.028 0.015
1227.73 16.085 0.005
1229.69 16.164 0.004
1231.74 16.244 0.006
1232.70 16.271 0.005
1235.66 16.436 0.009
1239.67 16.789 0.007
1243.70 17.000 0.006
1246.64 16.979 0.008
1255.70 16.752 0.007
1259.63 16.767 0.008
