SN2007le 0.006700 354.701708 -6.522583
filter B
1392.60 14.350 0.008
1394.59 14.148 0.013
1395.59 14.087 0.009
1398.50 14.022 0.012
1400.59 14.024 0.011
1403.56 14.118 0.010
1407.61 14.352 0.008
1409.57 14.520 0.009
1411.58 14.718 0.008
1413.59 14.929 0.007
1417.63 15.368 0.009
1421.55 15.747 0.009
1426.56 16.189 0.010
1428.57 16.352 0.013
1430.55 16.497 0.011
1435.54 16.772 0.010
1440.56 16.916 0.011
1443.63 16.979 0.012
1445.55 17.000 0.011
1449.55 17.021 0.012
1455.53 17.121 0.015
1456.55 17.182 0.017
1457.53 17.158 0.023
1466.53 17.258 0.023
1470.55 17.345 0.014
filter V
1392.60 14.119 0.008
1394.59 13.921 0.010
1395.59 13.848 0.006
1398.50 13.741 0.010
1400.59 13.699 0.006
1403.56 13.710 0.009
1407.61 13.841 0.005
1409.57 13.946 0.008
1411.58 14.077 0.008
1413.59 14.211 0.005
1417.63 14.422 0.007
1421.55 14.602 0.007
1426.56 14.873 0.007
1428.57 14.981 0.006
1430.55 15.111 0.008
1435.54 15.446 0.006
1440.56 15.674 0.006
1443.63 15.761 0.006
1445.55 15.820 0.008
1449.55 15.940 0.007
1455.53 16.091 0.008
1456.55 16.118 0.009
1457.53 16.171 0.011
1466.53 16.381 0.015
1470.55 16.486 0.009
filter r
1392.60 14.000 0.009
1394.59 13.815 0.007
1395.59 13.751 0.007
1398.50 13.643 0.010
1400.59 13.603 0.005
1403.56 13.619 0.008
1407.61 13.826 0.006
1409.57 13.968 0.009
1411.58 14.110 0.008
1413.59 14.248 0.004
1417.63 14.345 0.008
1421.55 14.372 0.006
1426.56 14.483 0.006
1428.57 14.559 0.004
1430.55 14.681 0.008
1435.54 15.031 0.005
1440.56 15.284 0.005
1443.63 15.394 0.005
1445.55 15.463 0.009
1449.55 15.599 0.005
1455.53 15.809 0.006
1456.55 15.836 0.009
1457.53 15.875 0.007
1466.53 16.157 0.007
1470.55 16.283 0.008
filter i
1392.60 14.327 0.010
1394.59 14.191 0.008
1395.59 14.167 0.007
1398.50 14.169 0.009
1400.59 14.216 0.007
1403.56 14.295 0.007
1407.61 14.492 0.008
1409.57 14.646 0.010
1411.58 14.833 0.010
1413.59 14.921 0.006
1417.63 14.868 0.009
1421.55 14.756 0.008
1426.56 14.644 0.009
1428.57 14.653 0.005
1430.55 14.707 0.010
1435.54 15.075 0.006
1440.56 15.380 0.007
1443.63 15.522 0.006
1445.55 15.606 0.009
1449.55 15.784 0.007
1455.53 16.020 0.009
1456.55 16.045 0.009
1457.53 16.088 0.009
1466.53 16.408 0.009
1470.55 16.562 0.010
