SN2007nq 0.045000 14.389875 -1.388611
filter B
1397.65 17.557 0.014
1400.67 17.617 0.017
1403.60 17.732 0.009
1407.74 18.151 0.016
1409.64 18.423 0.014
1411.62 18.725 0.013
1413.63 19.036 0.021
1417.65 19.569 0.024
1421.62 20.066 0.036
1422.63 20.106 0.051
1423.62 20.234 0.065
1427.66 20.597 0.187
1430.62 20.693 0.166
1435.56 20.737 0.045
1440.59 20.906 0.050
1443.66 20.899 0.080
1445.62 20.962 0.059
1449.58 21.120 0.093
1466.56 21.239 0.070
1468.56 21.266 0.074
1472.54 21.344 0.091
filter V
1397.65 17.502 0.015
1400.67 17.468 0.013
1403.60 17.547 0.009
1407.74 17.776 0.011
1409.64 17.922 0.012
1411.62 18.069 0.011
1413.63 18.222 0.014
1417.65 18.606 0.014
1421.62 18.958 0.020
1422.63 19.065 0.024
1423.62 19.120 0.028
1427.66 19.325 0.049
1430.62 19.537 0.049
1435.56 19.791 0.022
1440.59 19.904 0.027
1443.66 20.029 0.038
1445.62 20.062 0.027
1449.58 20.189 0.048
1455.56 20.177 0.090
1456.57 20.301 0.104
1457.56 20.372 0.119
1466.56 20.567 0.038
1468.56 20.540 0.044
1472.54 20.617 0.053
1476.56 20.797 0.069
filter r
1397.65 17.496 0.013
1400.67 17.442 0.010
1403.60 17.496 0.009
1407.74 17.772 0.009
1409.64 17.887 0.012
1411.62 17.996 0.010
1413.63 18.055 0.009
1417.65 18.201 0.010
1421.62 18.435 0.012
1422.63 18.535 0.012
1423.62 18.608 0.014
1427.66 18.950 0.030
1430.62 19.134 0.027
1435.56 19.316 0.015
1440.59 19.457 0.018
1443.66 19.559 0.029
1445.62 19.636 0.019
1449.58 19.785 0.031
1455.56 19.970 0.058
1456.57 19.999 0.062
1457.56 19.975 0.056
1458.55 19.991 0.049
1466.56 20.349 0.034
1468.56 20.413 0.036
1476.56 20.625 0.045
filter i
1397.65 17.918 0.018
1400.67 17.954 0.017
1403.60 18.029 0.013
1407.74 18.455 0.016
1409.64 18.572 0.019
1411.62 18.588 0.017
1413.63 18.484 0.020
1417.65 18.356 0.016
1421.62 18.433 0.016
1422.63 18.491 0.018
1423.62 18.638 0.021
1427.66 18.926 0.035
1430.62 19.085 0.029
1435.56 19.420 0.028
1440.59 19.727 0.032
1443.66 19.751 0.058
1445.62 19.811 0.035
1449.58 20.008 0.038
1455.56 20.275 0.100
1456.57 20.341 0.083
1457.56 20.281 0.088
1458.55 20.322 0.079
1466.56 20.752 0.074
1468.56 20.658 0.073
1476.56 21.167 0.122
