SN2007on 0.006500 54.712083 -35.575000
filter B
1411.79 14.174 0.007
1413.82 13.655 0.016
1418.75 13.136 0.006
1421.72 13.095 0.004
1422.73 13.161 0.006
1426.66 13.588 0.006
1427.68 13.752 0.009
1428.72 13.948 0.006
1429.69 14.091 0.006
1430.67 14.278 0.006
1443.73 15.675 0.007
1445.73 15.765 0.007
1449.70 15.931 0.009
1453.64 16.067 0.009
1455.62 16.107 0.009
1457.63 16.180 0.010
1458.69 16.196 0.010
1462.73 16.311 0.009
1467.63 16.424 0.009
1468.64 16.450 0.010
1470.59 16.469 0.011
1472.61 16.537 0.012
1475.61 16.569 0.011
1476.65 16.608 0.011
1484.59 16.720 0.013
1488.58 16.844 0.014
1490.58 16.869 0.010
1494.62 16.932 0.009
1497.62 16.987 0.013
1499.60 17.026 0.016
1508.61 17.203 0.013
filter V
1411.79 14.173 0.006
1413.82 13.650 0.016
1417.72 13.128 0.006
1418.75 13.058 0.008
1422.73 12.957 0.006
1423.73 13.020 0.008
1426.66 13.118 0.006
1428.72 13.164 0.009
1435.66 13.956 0.008
1443.73 14.690 0.005
1445.73 14.813 0.006
1449.70 14.986 0.009
1453.64 15.154 0.008
1455.62 15.230 0.007
1458.69 15.335 0.009
1462.73 15.465 0.007
1468.64 15.651 0.011
1484.59 16.103 0.010
1488.58 16.231 0.010
1494.62 16.396 0.009
1497.62 16.500 0.009
1499.60 16.557 0.019
1508.61 16.817 0.011
filter r
1411.79 14.176 0.008
1413.82 13.633 0.016
1422.73 12.950 0.006
1425.73 13.100 0.004
1426.66 13.149 0.006
1427.68 13.201 0.008
1429.69 13.365 0.005
1435.66 13.640 0.007
1440.69 14.094 0.007
1443.73 14.411 0.005
1445.73 14.528 0.006
1449.70 14.768 0.009
1453.64 14.963 0.007
1455.62 15.052 0.008
1456.67 15.097 0.006
1457.63 15.132 0.007
1458.69 15.202 0.008
1467.63 15.552 0.007
1468.64 15.587 0.008
1470.59 15.683 0.012
1476.65 15.917 0.010
1488.58 16.399 0.010
1490.58 16.477 0.009
1494.62 16.639 0.009
1499.60 16.841 0.009
1508.61 17.212 0.012
filter i
1411.79 14.330 0.010
1413.82 13.805 0.017
1417.72 13.368 0.013
1423.73 13.564 0.013
1426.66 13.706 0.013
1430.67 13.737 0.013
1435.66 13.740 0.013
1447.66 14.673 0.012
1453.64 15.005 0.011
1455.62 15.109 0.011
1456.67 15.147 0.011
1457.63 15.203 0.011
1458.69 15.243 0.011
1462.73 15.411 0.011
1467.63 15.626 0.011
1468.64 15.665 0.013
1470.59 15.758 0.014
1472.61 15.822 0.016
1475.61 15.948 0.012
1484.59 16.272 0.014
1497.62 16.699 0.014
1499.60 16.750 0.014
1508.61 17.021 0.014
