SN2007sr 0.005500 180.470000 -18.972694
filter B
1455.76 13.164 0.005
1456.76 13.249 0.007
1457.80 13.303 0.005
1458.84 13.386 0.009
1462.80 13.803 0.006
1464.85 14.034 0.009
1467.78 14.364 0.007
1468.78 14.467 0.006
1469.81 14.569 0.006
1470.79 14.669 0.007
1476.79 15.199 0.007
1484.78 15.725 0.011
1488.74 15.867 0.011
1490.81 15.915 0.008
1494.86 15.978 0.010
1497.79 16.024 0.009
1499.77 16.049 0.007
1508.87 16.163 0.010
1512.80 16.202 0.010
1515.77 16.232 0.008
1517.77 16.257 0.011
1523.79 16.346 0.008
1527.77 16.395 0.010
1542.67 16.625 0.010
1549.72 16.741 0.019
1558.66 16.881 0.012
1566.77 17.016 0.012
1571.67 17.106 0.012
1578.72 17.196 0.009
filter V
1455.76 12.865 0.006
1456.76 12.921 0.009
1457.80 12.956 0.006
1458.84 13.011 0.010
1462.80 13.280 0.007
1464.85 13.397 0.006
1467.78 13.548 0.006
1468.78 13.604 0.007
1469.81 13.646 0.006
1470.79 13.697 0.009
1476.79 14.022 0.007
1484.78 14.584 0.011
1488.74 14.749 0.007
1490.81 14.826 0.006
1494.86 14.950 0.008
1497.79 15.029 0.007
1499.77 15.086 0.006
1508.87 15.320 0.008
1512.80 15.418 0.008
1515.77 15.500 0.007
1517.77 15.542 0.007
1523.79 15.695 0.006
1527.77 15.793 0.009
1532.70 15.936 0.020
1542.67 16.150 0.008
1549.72 16.309 0.012
1558.66 16.490 0.008
1566.77 16.659 0.009
1571.67 16.759 0.010
1578.72 16.893 0.009
filter r
1455.76 12.918 0.005
1456.76 12.976 0.008
1457.80 13.038 0.006
1458.84 13.142 0.012
1462.80 13.389 0.006
1464.85 13.487 0.008
1467.78 13.528 0.004
1468.78 13.553 0.007
1469.81 13.533 0.006
1470.79 13.534 0.007
1476.79 13.684 0.005
1484.78 14.194 0.008
1488.74 14.420 0.006
1490.81 14.506 0.004
1494.86 14.649 0.006
1497.79 14.749 0.007
1499.77 14.814 0.005
1508.87 15.108 0.008
1512.80 15.244 0.007
1515.77 15.352 0.005
1517.77 15.402 0.006
1523.79 15.607 0.005
1527.77 15.720 0.008
1542.67 16.201 0.008
1549.72 16.437 0.011
1558.66 16.708 0.008
1566.77 16.953 0.008
1571.67 17.082 0.009
1578.72 17.267 0.008
filter i
1455.76 13.655 0.007
1456.76 13.719 0.007
1457.80 13.816 0.005
1458.84 13.932 0.012
1462.80 14.182 0.006
1464.85 14.210 0.009
1467.78 14.115 0.007
1468.78 14.093 0.008
1469.81 14.040 0.007
1470.79 14.008 0.008
1476.79 13.895 0.006
1484.78 14.314 0.010
1488.74 14.576 0.007
1490.81 14.685 0.005
1494.86 14.859 0.008
1497.79 14.994 0.008
1499.77 15.059 0.006
1508.87 15.418 0.009
1512.80 15.569 0.008
1515.77 15.685 0.007
1517.77 15.745 0.007
1523.79 15.963 0.007
1527.77 16.095 0.010
1542.67 16.600 0.009
1549.72 16.805 0.015
1558.66 17.081 0.011
1566.77 17.287 0.011
1571.67 17.407 0.013
1578.72 17.576 0.009
