SN2007st 0.021200 27.176958 -48.649389
filter B
1458.66 16.005 0.007
1462.60 16.356 0.017
1464.64 16.609 0.010
1468.61 17.218 0.012
1469.59 17.315 0.022
1470.57 17.493 0.013
1472.59 17.754 0.016
1475.59 18.015 0.016
1476.61 18.162 0.016
1480.55 18.500 0.037
1486.56 18.683 0.031
filter V
1458.66 15.835 0.009
1466.66 16.188 0.036
1469.59 16.379 0.031
1470.57 16.463 0.031
1472.59 16.584 0.055
1475.59 16.878 0.020
1480.55 17.285 0.015
1486.56 17.762 0.020
filter r
1458.66 15.783 0.009
1462.60 15.966 0.010
1464.64 16.094 0.011
1466.66 16.162 0.012
1468.61 16.300 0.012
1470.57 16.356 0.011
1472.59 16.504 0.034
1475.59 16.549 0.012
1476.61 16.627 0.016
1480.55 16.910 0.016
1486.56 17.300 0.010
1493.55 17.626 0.013
1512.52 18.266 0.026
filter i
1458.66 16.408 0.014
1462.60 16.542 0.011
1464.64 16.656 0.012
1466.66 16.701 0.012
1468.61 16.672 0.015
1470.57 16.684 0.014
1472.59 16.675 0.017
1475.59 16.668 0.012
1476.61 16.713 0.016
1480.55 16.849 0.022
1486.56 17.269 0.014
1493.55 17.680 0.016
1512.52 18.448 0.038
