SN2008J 0.015900 38.600833 -10.844028
filter B
1484.54 17.179 0.016
1486.59 17.177 0.016
1488.56 17.177 0.017
1490.55 17.165 0.012
1492.58 17.180 0.013
1493.59 17.184 0.013
1494.54 17.214 0.013
1497.54 17.222 0.013
1499.55 17.281 0.013
1515.52 17.778 0.021
filter V
1484.54 16.034 0.011
1486.59 15.978 0.012
1488.56 15.933 0.011
1490.55 15.920 0.010
1492.58 15.893 0.011
1493.59 15.884 0.010
1494.54 15.890 0.012
1497.54 15.852 0.011
1499.55 15.852 0.010
1515.52 16.160 0.012
filter r
1484.54 15.370 0.007
1486.59 15.310 0.009
1488.56 15.285 0.008
1490.55 15.223 0.008
1492.58 15.183 0.008
1493.59 15.179 0.009
1494.54 15.177 0.010
1497.54 15.147 0.007
1499.55 15.149 0.007
1515.52 15.368 0.007
filter i
1484.54 14.965 0.006
1486.59 14.917 0.008
1488.56 14.862 0.006
1490.55 14.818 0.009
1492.58 14.754 0.009
1493.59 14.763 0.008
1497.54 14.724 0.007
1499.55 14.726 0.007
1515.52 14.837 0.006
