SN2008O 0.038900 104.393583 -45.812306
filter B
1490.64 18.484 0.018
1492.68 18.511 0.015
1493.69 18.559 0.012
1494.70 18.631 0.015
1497.66 18.948 0.016
1499.65 19.234 0.021
1508.71 20.400 0.045
1512.63 20.672 0.091
1517.62 20.992 0.095
1521.61 21.068 0.116
1523.58 21.413 0.102
1527.58 21.396 0.092
1532.59 21.577 0.124
1552.53 21.850 0.176
1558.51 21.652 0.136
1566.58 21.818 0.131
filter V
1490.64 18.198 0.013
1492.68 18.147 0.013
1493.69 18.136 0.013
1494.70 18.139 0.013
1497.66 18.257 0.015
1499.65 18.340 0.016
1508.71 19.205 0.026
1512.63 19.491 0.039
1517.62 19.873 0.046
1519.61 20.060 0.048
1521.61 20.205 0.058
1523.58 20.267 0.051
1527.58 20.362 0.055
1532.59 20.387 0.061
1541.62 20.743 0.078
1545.55 20.794 0.093
1566.58 21.215 0.105
1571.48 21.266 0.146
filter r
1490.64 17.947 0.012
1492.68 17.872 0.012
1493.69 17.933 0.012
1494.70 17.931 0.012
1497.66 17.956 0.012
1499.65 18.024 0.013
1508.71 18.576 0.020
1515.62 18.865 0.035
1517.62 19.217 0.027
1519.61 19.309 0.026
1521.61 19.504 0.029
1523.58 19.569 0.031
1532.59 19.847 0.044
1545.55 20.282 0.050
filter i
1490.64 18.153 0.016
1492.68 18.218 0.016
1494.70 18.203 0.021
1497.66 18.370 0.017
1499.65 18.505 0.019
1508.71 18.680 0.025
1517.62 19.019 0.028
1519.61 19.169 0.039
1541.62 20.414 0.078
