SN2008R 0.013500 45.973750 -11.994278
filter B
1493.63 15.529 0.004
1494.59 15.502 0.007
1497.59 15.620 0.004
1499.58 15.808 0.005
1508.58 17.152 0.008
1512.55 17.651 0.013
1517.56 18.086 0.028
1519.56 18.236 0.016
1521.55 18.338 0.013
1527.51 18.562 0.015
filter V
1493.63 15.428 0.005
1494.59 15.395 0.009
1497.59 15.361 0.006
1499.58 15.413 0.005
1508.58 16.127 0.006
1512.55 16.477 0.007
1517.56 16.982 0.011
1519.56 17.124 0.010
1521.55 17.248 0.009
1523.52 17.349 0.009
1527.51 17.513 0.011
1532.52 17.700 0.010
filter r
1493.63 15.361 0.006
1494.59 15.333 0.009
1497.59 15.287 0.007
1499.58 15.360 0.004
1508.58 15.873 0.006
1512.55 16.068 0.005
1515.57 16.350 0.008
1519.56 16.739 0.008
1521.55 16.879 0.006
1523.52 16.995 0.008
1527.51 17.195 0.009
1532.52 17.386 0.008
filter i
1493.63 15.674 0.007
1494.59 15.697 0.011
1497.59 15.742 0.007
1499.58 15.842 0.006
1508.58 16.100 0.007
1512.55 16.101 0.006
1515.57 16.289 0.012
1517.56 16.502 0.007
1519.56 16.675 0.009
1521.55 16.833 0.008
1523.52 16.984 0.008
1527.51 17.186 0.010
1532.52 17.448 0.012
