SN2008ae 0.030000 149.013333 10.499667
filter B
1508.74 18.567 0.018
1512.71 18.667 0.017
1515.71 18.915 0.102
1519.66 19.601 0.048
1521.73 19.858 0.055
1523.70 20.143 0.063
1527.66 20.477 0.047
1532.62 21.100 0.087
filter V
1508.74 18.366 0.014
1512.71 18.201 0.012
1515.71 18.241 0.061
1517.71 18.419 0.091
1519.66 18.391 0.018
1521.73 18.636 0.019
1523.70 18.770 0.020
1527.66 19.138 0.020
1532.62 19.512 0.025
1541.66 19.853 0.047
1547.66 20.057 0.099
1549.62 20.091 0.071
1552.64 20.187 0.046
1558.59 20.318 0.040
1564.59 20.423 0.043
1569.63 20.536 0.092
1591.54 20.959 0.068
1597.56 21.108 0.104
filter r
1512.71 17.986 0.012
1515.71 17.970 0.062
1517.71 17.954 0.041
1519.66 17.986 0.013
1521.73 18.083 0.016
filter i
1515.71 17.854 0.048
1517.71 17.985 0.060
1519.66 17.978 0.015
1521.73 17.943 0.015
1523.70 18.000 0.015
