SN2008ar 0.026100 186.158000 10.838167
filter B
1527.79 16.768 0.011
1541.74 16.618 0.008
1542.75 16.680 0.008
1543.75 16.756 0.009
1545.75 16.928 0.011
1547.75 17.132 0.013
1551.78 17.610 0.013
1552.80 17.762 0.013
1558.70 18.394 0.018
1562.74 18.767 0.022
1564.72 18.884 0.016
1570.66 19.195 0.025
1571.72 19.300 0.037
1572.71 19.201 0.061
1576.67 19.391 0.068
1582.70 19.585 0.039
1592.69 19.689 0.030
1606.60 19.795 0.076
filter V
1527.79 16.769 0.009
1541.74 16.468 0.007
1542.75 16.505 0.008
1543.75 16.541 0.009
1545.75 16.639 0.009
1547.75 16.748 0.011
1551.78 16.987 0.009
1552.80 17.074 0.009
1558.70 17.433 0.012
1562.74 17.702 0.012
1564.72 17.810 0.012
1570.66 18.201 0.013
1571.72 18.293 0.021
1572.71 18.249 0.023
1576.67 18.455 0.027
1582.70 18.608 0.016
1592.69 18.835 0.018
1606.60 19.163 0.033
filter r
1527.79 16.765 0.009
1541.74 16.451 0.011
1542.75 16.501 0.009
1543.75 16.539 0.009
1545.75 16.674 0.009
1547.75 16.853 0.013
1551.78 16.936 0.011
1552.80 16.998 0.008
1558.70 17.095 0.011
1562.74 17.250 0.010
1564.72 17.341 0.009
1570.66 17.719 0.010
1571.72 17.779 0.010
1572.71 17.828 0.020
1576.67 18.017 0.017
1582.70 18.240 0.013
1592.69 18.536 0.015
1606.60 18.931 0.022
filter i
1527.79 17.119 0.011
1541.74 17.177 0.013
1542.75 17.212 0.009
1543.75 17.266 0.011
1545.75 17.416 0.013
1547.75 17.523 0.018
1551.78 17.577 0.019
1552.80 17.553 0.010
1558.70 17.443 0.012
1562.74 17.435 0.009
1564.72 17.451 0.012
1570.66 17.816 0.011
1571.72 17.884 0.013
1572.71 17.950 0.019
1576.67 18.215 0.023
1582.70 18.470 0.017
1592.69 18.838 0.025
1606.60 19.325 0.034
