SN2008bc 0.015100 144.630125 -63.973778
filter B
1541.67 16.230 0.008
1542.56 16.092 0.005
1543.60 15.962 0.004
1545.68 15.770 0.007
1547.59 15.671 0.007
1548.58 15.661 0.004
1549.58 15.655 0.005
1551.69 15.691 0.004
1552.69 15.717 0.004
1558.56 15.992 0.007
1560.62 16.141 0.005
1562.61 16.325 0.006
1564.62 16.525 0.004
1566.63 16.748 0.006
1568.60 16.960 0.006
1569.72 17.074 0.005
1570.55 17.151 0.006
1573.56 17.448 0.008
1574.63 17.546 0.012
1575.60 17.661 0.011
1576.56 17.744 0.014
1582.58 18.210 0.009
1589.57 18.534 0.012
1592.54 18.626 0.013
1595.65 18.722 0.013
1606.50 18.922 0.109
1618.51 19.039 0.016
1626.48 19.166 0.019
1644.46 19.445 0.024
1646.46 19.477 0.020
filter V
1542.56 15.973 0.006
1543.60 15.848 0.006
1545.68 15.653 0.007
1547.59 15.542 0.009
1548.58 15.519 0.004
1549.58 15.501 0.006
1551.69 15.488 0.006
1552.69 15.502 0.004
1560.62 15.789 0.007
1564.62 16.042 0.005
1570.55 16.346 0.005
1573.56 16.476 0.006
1574.63 16.544 0.007
1575.60 16.594 0.010
1576.56 16.635 0.007
1582.58 17.007 0.007
1589.57 17.437 0.008
1592.54 17.537 0.009
1595.65 17.680 0.007
1606.50 17.946 0.014
1618.51 18.290 0.012
1626.48 18.469 0.012
1644.46 18.909 0.020
filter r
1543.60 15.775 0.007
1545.68 15.601 0.008
1547.59 15.524 0.011
1548.58 15.472 0.004
1549.58 15.441 0.006
1551.69 15.433 0.004
1552.69 15.479 0.004
1573.56 16.277 0.004
1574.63 16.301 0.005
1575.60 16.280 0.011
1576.56 16.321 0.008
1589.57 17.026 0.006
1618.51 18.044 0.013
1626.48 18.303 0.016
1644.46 18.854 0.031
1646.46 18.852 0.024
filter i
1542.56 16.124 0.009
1543.60 16.037 0.006
1545.68 15.934 0.011
1548.58 15.955 0.005
1549.58 15.998 0.006
1551.69 16.045 0.007
1552.69 16.132 0.005
1562.61 16.717 0.011
1569.72 16.815 0.008
1571.53 16.762 0.010
1573.56 16.691 0.008
1574.63 16.681 0.007
1576.56 16.604 0.009
1582.58 16.637 0.007
1589.57 17.105 0.008
1592.54 17.276 0.010
1595.65 17.440 0.008
1606.50 17.890 0.014
1618.51 18.384 0.022
1626.48 18.619 0.022
1644.46 19.177 0.049
1646.46 19.236 0.034
