SN2008bd 0.030100 154.597167 -13.103111
filter B
1542.60 19.790 0.058
1543.65 20.035 0.067
1547.68 20.443 0.131
1549.66 20.516 0.097
1551.64 20.632 0.094
1552.77 20.965 0.141
1560.64 21.035 0.089
1564.67 21.206 0.089
1568.71 21.055 0.107
1580.58 21.610 0.187
1592.62 21.923 0.143
filter V
1542.60 18.610 0.023
1543.65 18.720 0.024
1547.68 19.073 0.038
1548.68 19.089 0.049
1549.66 19.404 0.046
1551.64 19.505 0.039
1560.64 19.906 0.042
1568.71 20.154 0.052
1570.61 20.064 0.076
1576.62 20.375 0.116
filter r
1541.70 18.089 0.014
1542.60 18.166 0.014
1543.65 18.243 0.016
1547.68 18.617 0.025
1548.68 18.672 0.023
1549.66 18.743 0.019
1551.64 18.958 0.021
1552.77 19.042 0.022
1570.61 20.070 0.044
filter i
1541.70 18.337 0.044
1542.60 18.191 0.017
1543.65 18.266 0.018
1547.68 18.403 0.027
1548.68 18.468 0.024
1549.66 18.604 0.023
1551.64 18.929 0.045
1552.77 18.922 0.026
1560.64 19.460 0.041
1564.67 19.695 0.041
1570.61 20.076 0.073
1575.66 20.189 0.085
1576.62 20.269 0.079
1580.58 20.343 0.071
1589.59 20.749 0.115
1592.62 20.834 0.121
