SN2008bq 0.034000 100.260458 -38.038611
filter B
1562.49 17.003 0.006
1564.48 17.060 0.006
1566.52 17.121 0.009
1568.49 17.178 0.008
1569.51 17.231 0.008
1570.49 17.299 0.007
1572.48 17.441 0.008
1573.50 17.506 0.009
1574.47 17.593 0.010
1575.50 17.711 0.011
1576.48 17.808 0.012
1580.49 18.246 0.010
1589.51 19.147 0.017
1591.47 19.310 0.017
1595.48 19.609 0.024
1599.48 19.831 0.035
filter V
1562.49 16.944 0.005
1566.52 16.957 0.008
1568.49 16.994 0.007
1569.51 17.020 0.006
1570.49 17.054 0.007
1572.48 17.140 0.007
1573.50 17.173 0.006
1574.47 17.221 0.010
1575.50 17.276 0.010
1576.48 17.344 0.009
1580.49 17.601 0.008
1589.51 18.102 0.010
1591.47 18.205 0.013
1595.48 18.447 0.012
1599.48 18.711 0.016
1606.46 19.025 0.031
filter r
1562.49 16.878 0.005
1566.52 16.824 0.009
1568.49 16.872 0.007
1569.51 16.910 0.006
1570.49 16.951 0.006
1572.48 17.033 0.007
1573.50 17.095 0.006
1574.47 17.152 0.008
1575.50 17.213 0.009
1576.48 17.285 0.007
1580.49 17.464 0.008
1589.51 17.643 0.007
1591.47 17.714 0.011
1595.48 17.904 0.008
1599.48 18.186 0.009
1606.46 18.532 0.020
filter i
1562.49 17.392 0.008
1566.52 17.470 0.012
1568.49 17.509 0.010
1569.51 17.554 0.012
1570.49 17.588 0.010
1572.48 17.698 0.011
1573.50 17.775 0.011
1574.47 17.862 0.016
1575.50 17.946 0.012
1576.48 18.009 0.013
1580.49 18.095 0.013
1589.51 17.946 0.010
1591.47 17.942 0.017
1595.48 17.964 0.011
1599.48 18.216 0.013
1606.46 18.693 0.023
