SN2008bt 0.015400 162.570333 -12.108889
filter B
1571.61 16.959 0.009
1572.68 16.951 0.011
1575.69 17.138 0.013
1578.64 17.550 0.011
1582.66 18.261 0.016
1589.62 18.990 0.022
1591.59 19.097 0.021
1597.62 19.460 0.026
1606.53 19.787 0.087
1618.53 19.994 0.041
1624.56 20.137 0.044
1630.54 20.143 0.089
1644.52 20.469 0.074
filter V
1571.61 16.518 0.006
1572.68 16.463 0.007
1575.69 16.439 0.008
1578.64 16.582 0.007
1582.66 17.014 0.009
1589.62 17.669 0.010
1591.59 17.837 0.014
1597.62 18.225 0.008
1606.53 18.593 0.024
1618.53 19.026 0.024
1624.56 19.191 0.025
1630.54 19.307 0.035
1644.52 19.678 0.045
1651.47 19.990 0.031
filter r
1571.61 16.378 0.007
1572.68 16.313 0.007
1575.69 16.248 0.008
1578.64 16.338 0.011
1582.66 16.614 0.010
1589.62 17.144 0.009
1591.59 17.305 0.014
1597.62 17.842 0.011
1606.53 18.334 0.017
1618.53 18.833 0.017
1624.56 19.090 0.024
1630.54 19.267 0.029
1644.52 19.920 0.044
1651.47 20.176 0.041
filter i
1571.61 16.494 0.007
1572.68 16.472 0.008
1575.69 16.492 0.010
1578.64 16.598 0.020
1582.66 16.731 0.010
1589.62 17.045 0.010
1591.59 17.154 0.012
1597.62 17.742 0.013
1606.53 18.268 0.019
1618.53 18.784 0.026
1624.56 19.064 0.030
1630.54 19.298 0.044
1644.52 19.658 0.052
1651.47 19.912 0.051
