SN2008cc 0.010400 315.873417 -67.183639
filter B
1582.86 15.021 0.004
1583.86 15.158 0.004
1587.82 15.630 0.005
1589.82 15.948 0.006
1591.81 16.215 0.007
1592.88 16.337 0.007
1595.85 16.643 0.010
1597.80 16.831 0.009
1606.77 17.383 0.014
1616.73 17.607 0.015
1624.81 17.752 0.015
1628.78 17.815 0.020
1630.78 17.851 0.015
1644.70 18.067 0.021
1646.72 18.108 0.021
1648.77 18.123 0.020
1650.80 18.141 0.019
1651.78 18.155 0.019
1653.76 18.192 0.017
1654.86 18.222 0.018
filter V
1582.86 14.578 0.005
1583.86 14.655 0.004
1587.82 14.926 0.005
1589.82 15.066 0.005
1591.81 15.209 0.005
1592.88 15.286 0.006
1595.85 15.531 0.006
1597.80 15.724 0.005
1606.77 16.340 0.009
1616.73 16.663 0.012
1618.73 16.728 0.017
1624.81 16.906 0.008
1628.78 17.012 0.014
1630.78 17.077 0.010
1644.70 17.436 0.011
1646.72 17.453 0.017
1648.77 17.532 0.010
1650.80 17.562 0.019
1651.78 17.610 0.012
1653.76 17.634 0.012
1654.86 17.681 0.011
filter r
1582.86 14.660 0.005
1583.86 14.751 0.005
1587.82 14.908 0.005
1589.82 14.957 0.006
1591.81 14.986 0.005
1592.88 15.020 0.005
1595.85 15.170 0.005
1597.80 15.347 0.005
1606.77 16.024 0.007
1616.73 16.414 0.007
1618.73 16.500 0.007
1624.81 16.725 0.007
1628.78 16.860 0.007
1630.78 16.946 0.008
1644.70 17.416 0.012
1646.72 17.492 0.010
1648.77 17.557 0.010
1650.80 17.635 0.012
1651.78 17.675 0.012
1653.76 17.739 0.011
1654.86 17.764 0.014
filter i
1582.86 15.368 0.005
1583.86 15.428 0.005
1587.82 15.451 0.005
1589.82 15.395 0.007
1591.81 15.318 0.005
1592.88 15.311 0.007
1595.85 15.285 0.005
1597.80 15.396 0.005
1606.77 16.128 0.009
1616.73 16.609 0.008
1618.73 16.712 0.015
1624.81 16.943 0.009
1628.78 17.085 0.010
1630.78 17.198 0.012
1644.70 17.695 0.012
1646.72 17.746 0.015
1648.77 17.839 0.015
1650.80 17.863 0.019
1651.78 17.929 0.021
1653.76 18.006 0.016
1654.86 17.994 0.014
