SN2008cf 0.046000 211.885667 -26.551833
filter B
1595.77 17.248 0.007
1597.76 17.303 0.007
1599.68 17.391 0.007
1606.69 17.828 0.015
1616.65 18.771 0.017
1624.68 19.466 0.019
1626.65 19.630 0.022
1628.69 19.769 0.028
1630.65 19.915 0.056
1644.60 20.254 0.036
1648.67 20.343 0.032
1653.64 20.493 0.036
1654.65 20.518 0.041
filter V
1595.77 17.208 0.006
1597.76 17.242 0.005
1599.68 17.287 0.007
1606.69 17.613 0.013
1616.65 18.159 0.010
1624.68 18.587 0.012
1626.65 18.709 0.013
1628.69 18.838 0.016
1630.65 18.903 0.022
1644.60 19.511 0.024
1648.67 19.635 0.025
1653.64 19.729 0.030
1654.65 19.758 0.030
filter r
1595.77 17.239 0.006
1597.76 17.247 0.005
1599.68 17.296 0.007
1606.69 17.665 0.013
1616.65 18.041 0.007
1624.68 18.206 0.008
1626.65 18.261 0.009
1628.69 18.345 0.010
1630.65 18.452 0.014
1644.60 19.076 0.018
1648.67 19.252 0.015
1653.64 19.370 0.018
1654.65 19.438 0.019
filter i
1595.77 17.868 0.009
1597.76 17.954 0.011
1599.68 17.983 0.010
1606.69 18.420 0.021
1616.65 18.724 0.016
1624.68 18.565 0.015
1626.65 18.541 0.015
1628.69 18.525 0.015
1630.65 18.602 0.019
1644.60 19.399 0.119
1648.67 19.551 0.035
1653.64 19.815 0.041
1654.65 19.763 0.034
