SN2008fr 0.039700 17.954750 14.640833
filter B
1740.72 17.220 0.009
1742.76 17.412 0.012
1744.70 17.514 0.014
1747.69 17.814 0.013
1749.67 18.020 0.014
1752.67 18.335 0.102
1755.66 18.735 0.032
1756.69 18.818 0.029
1759.65 19.109 0.016
1760.64 19.268 0.018
1765.66 19.700 0.031
1766.66 19.671 0.023
1772.64 19.929 0.025
1779.62 20.056 0.056
1783.63 20.194 0.133
1789.63 20.326 0.032
1793.56 20.373 0.030
1798.62 20.467 0.041
1801.64 20.448 0.035
1807.57 20.661 0.146
filter V
1740.72 17.114 0.009
1742.76 17.181 0.013
1744.70 17.281 0.010
1747.69 17.479 0.012
1749.67 17.585 0.011
1751.67 17.674 0.071
1752.67 17.855 0.043
1755.66 17.914 0.018
1756.69 17.971 0.018
1759.65 18.185 0.014
1760.64 18.218 0.012
1765.66 18.587 0.018
1766.66 18.546 0.014
1772.64 18.852 0.016
1779.62 19.201 0.032
1783.63 19.154 0.057
1789.63 19.402 0.021
1793.56 19.467 0.020
1798.62 19.610 0.024
1801.64 19.671 0.023
1807.57 19.974 0.062
filter r
1740.72 17.134 0.007
1744.70 17.364 0.009
1747.69 17.534 0.009
1749.67 17.625 0.009
1751.67 17.708 0.063
1755.66 17.744 0.014
1756.69 17.775 0.012
1759.65 17.824 0.009
1760.64 17.877 0.009
1765.66 18.112 0.008
1766.66 18.146 0.009
1772.64 18.476 0.009
1779.62 18.751 0.017
1783.63 18.873 0.029
1789.63 19.094 0.013
1793.56 19.181 0.016
1798.62 19.288 0.017
1801.64 19.385 0.016
1807.57 19.577 0.036
filter i
1740.72 17.803 0.010
1744.70 18.148 0.013
1747.69 18.367 0.013
1749.67 18.398 0.016
1755.66 18.305 0.021
1756.69 18.291 0.015
1759.65 18.220 0.011
1760.64 18.203 0.010
1765.66 18.256 0.016
1766.66 18.307 0.013
1772.64 18.605 0.015
1779.62 19.044 0.023
1783.63 19.254 0.049
1789.63 19.425 0.023
1793.56 19.579 0.025
1798.62 19.863 0.041
1801.64 19.889 0.041
1807.57 20.002 0.062
