SN2008gg 0.032000 21.346000 -18.172444
filter B
1753.63 16.687 0.009
1755.71 16.784 0.008
1756.65 16.843 0.008
1759.69 17.085 0.009
1760.68 17.162 0.006
1765.74 17.688 0.008
1766.75 17.769 0.008
1768.64 17.966 0.009
1770.63 18.169 0.011
1772.71 18.355 0.011
1776.68 18.684 0.014
1777.66 18.751 0.017
1779.66 18.974 0.021
1781.65 19.037 0.036
1783.70 19.179 0.043
1785.65 19.333 0.164
1786.66 19.311 0.034
1790.66 19.502 0.016
1797.67 19.636 0.018
1803.69 19.696 0.017
1807.62 19.744 0.030
1810.62 19.777 0.045
1814.61 19.809 0.047
1818.61 19.867 0.021
1824.64 19.920 0.024
1827.57 19.980 0.020
filter V
1753.63 16.560 0.007
1755.71 16.588 0.009
1756.65 16.603 0.008
1759.69 16.732 0.007
1760.68 16.796 0.006
1765.74 17.111 0.007
1766.75 17.166 0.007
1768.64 17.271 0.008
1770.63 17.366 0.007
1772.71 17.465 0.009
1776.68 17.660 0.008
1777.66 17.716 0.008
1779.66 17.840 0.012
1781.65 17.951 0.013
1783.70 18.071 0.016
1785.65 18.171 0.059
1786.66 18.298 0.013
1790.66 18.506 0.011
1797.67 18.743 0.013
1803.69 18.873 0.015
1807.62 19.012 0.022
1810.62 18.986 0.026
1814.61 19.132 0.029
1818.61 19.223 0.018
1824.64 19.335 0.020
1827.57 19.407 0.020
filter r
1753.63 16.505 0.006
1755.71 16.528 0.008
1756.65 16.561 0.008
1759.69 16.704 0.007
1760.68 16.779 0.005
1765.74 17.098 0.006
1766.75 17.129 0.006
1768.64 17.171 0.009
1770.63 17.196 0.007
1772.71 17.205 0.006
1776.68 17.243 0.007
1777.66 17.270 0.007
1779.66 17.330 0.009
1781.65 17.428 0.009
1783.70 17.536 0.011
1785.65 17.659 0.011
1786.66 17.746 0.008
1790.66 17.962 0.008
1797.67 18.243 0.009
1803.69 18.549 0.013
1807.62 18.546 0.012
1810.62 18.642 0.016
1814.61 18.733 0.015
1818.61 18.898 0.012
1824.64 19.055 0.015
1827.57 19.122 0.013
filter i
1753.63 17.191 0.009
1755.71 17.241 0.010
1756.65 17.269 0.011
1759.69 17.490 0.009
1760.68 17.579 0.008
1765.74 17.941 0.012
1766.75 17.964 0.011
1768.64 17.971 0.011
1770.63 17.909 0.011
1772.71 17.847 0.011
1776.68 17.707 0.009
1777.66 17.686 0.010
1779.66 17.655 0.012
1781.65 17.684 0.014
1783.70 17.749 0.014
1785.65 17.842 0.014
1786.66 17.904 0.011
1790.66 18.214 0.013
1797.67 18.573 0.016
1803.69 18.823 0.017
1807.62 18.999 0.023
1810.62 19.099 0.026
1814.61 19.228 0.029
1818.61 19.371 0.029
1824.64 19.657 0.042
1827.57 19.715 0.033
