SN2008gl 0.034000 20.228417 4.805306
filter B
1765.70 16.962 0.007
1766.71 16.922 0.006
1768.61 16.906 0.007
1770.60 16.949 0.008
1772.68 17.065 0.008
1776.64 17.386 0.008
1779.59 17.704 0.012
1781.62 17.960 0.025
1783.67 18.233 0.030
1789.68 18.996 0.016
1792.56 19.289 0.018
1795.63 19.566 0.023
1801.71 19.974 0.036
1802.60 19.987 0.030
1806.60 20.014 0.053
1818.57 20.269 0.042
1820.59 20.256 0.036
1824.55 20.341 0.058
1831.58 20.376 0.042
filter V
1765.70 16.969 0.006
1766.71 16.925 0.005
1768.61 16.871 0.007
1770.60 16.871 0.008
1772.68 16.910 0.007
1776.64 17.092 0.007
1779.59 17.294 0.009
1781.62 17.419 0.020
1783.67 17.585 0.014
1789.68 17.991 0.010
1792.56 18.136 0.012
1795.63 18.491 0.012
1801.71 18.910 0.017
1802.60 18.969 0.016
1806.60 19.094 0.020
1809.63 19.081 0.045
1814.57 19.253 0.028
1818.57 19.467 0.023
1820.59 19.466 0.022
1824.55 19.540 0.037
1831.58 19.701 0.032
1844.55 19.954 0.086
filter r
1765.70 16.922 0.006
1766.71 16.883 0.005
1768.61 16.824 0.005
1770.60 16.813 0.007
1772.68 16.845 0.007
1776.64 17.097 0.006
1779.59 17.328 0.008
1781.62 17.444 0.019
1783.67 17.499 0.012
1789.68 17.612 0.009
1792.56 17.747 0.011
1795.63 17.999 0.010
1801.71 18.433 0.011
1802.60 18.452 0.011
1806.60 18.597 0.013
1809.63 18.734 0.027
1814.57 18.892 0.016
1818.57 19.004 0.016
1820.59 19.092 0.016
1824.55 19.238 0.018
1831.58 19.381 0.019
1844.55 19.866 0.041
filter i
1765.70 17.310 0.009
1766.71 17.361 0.007
1768.61 17.400 0.008
1770.60 17.381 0.009
1772.68 17.431 0.009
1776.64 17.829 0.011
1779.59 18.076 0.013
1781.62 18.130 0.049
1783.67 18.082 0.018
1789.68 17.894 0.012
1792.56 17.867 0.011
1795.63 18.037 0.014
1801.71 18.552 0.017
1802.60 18.554 0.016
1806.60 18.785 0.019
1809.63 18.992 0.044
1814.57 19.169 0.026
1818.57 19.329 0.028
1820.59 19.431 0.030
1824.55 19.606 0.045
1831.58 19.876 0.034
1844.55 20.296 0.075
