SN2008gp 0.033400 50.753042 1.361889
filter B
1768.75 17.924 0.011
1770.73 17.481 0.008
1772.78 17.167 0.009
1776.73 16.870 0.007
1779.77 16.838 0.009
1781.75 16.877 0.010
1783.74 16.946 0.011
1786.84 17.112 0.011
1790.74 17.446 0.008
1792.69 17.671 0.009
1793.70 17.788 0.010
1795.73 18.052 0.012
1801.78 18.768 0.016
1802.72 18.845 0.015
1803.80 18.921 0.018
1806.73 19.244 0.021
1808.74 19.404 0.027
1809.70 19.466 0.042
1810.71 19.476 0.067
1813.64 19.817 0.083
1814.69 19.734 0.087
filter V
1768.75 17.875 0.011
1770.73 17.455 0.008
1772.78 17.162 0.008
1776.73 16.882 0.006
1779.77 16.802 0.009
1781.75 16.814 0.011
1783.74 16.843 0.011
1786.84 16.931 0.009
1790.74 17.140 0.009
1792.69 17.262 0.009
1793.70 17.332 0.009
1795.73 17.458 0.011
1801.78 17.852 0.010
1802.72 17.925 0.010
1803.80 17.964 0.011
1806.73 18.183 0.011
1808.74 18.301 0.013
1809.70 18.389 0.018
1810.71 18.404 0.023
1813.64 18.607 0.030
1814.69 18.642 0.030
filter r
1768.75 17.886 0.013
1772.78 17.166 0.007
1776.73 16.892 0.006
1779.77 16.786 0.012
1781.75 16.827 0.011
1783.74 16.817 0.010
1786.84 16.924 0.009
1790.74 17.149 0.009
1792.69 17.298 0.009
1793.70 17.357 0.008
1795.73 17.468 0.012
1801.78 17.577 0.009
1802.72 17.610 0.009
1803.80 17.584 0.007
1806.73 17.726 0.009
1808.74 17.782 0.009
1809.70 17.863 0.011
1810.71 17.948 0.015
1813.64 18.115 0.014
1814.69 18.146 0.014
filter i
1768.75 18.159 0.015
1770.73 17.656 0.011
1772.78 17.379 0.010
1776.73 17.258 0.009
1779.77 17.385 0.012
1781.75 17.445 0.014
1783.74 17.420 0.018
1786.84 17.523 0.012
1790.74 17.894 0.012
1792.69 18.050 0.013
1793.70 18.030 0.012
1795.73 18.099 0.016
1801.78 17.920 0.013
1803.80 17.854 0.012
1806.73 17.865 0.012
1808.74 17.900 0.011
1809.70 17.904 0.012
1810.71 17.964 0.017
1813.64 18.138 0.014
1814.69 18.175 0.016
