SN2008ha 0.004600 354.614667 18.226500
filter B
1781.55 18.133 0.022
1783.56 18.080 0.025
1785.58 18.229 0.026
1786.53 18.337 0.016
1789.58 18.825 0.027
1792.52 19.354 0.036
1793.52 19.521 0.043
1795.52 19.852 0.048
1797.53 20.057 0.084
1801.56 20.355 0.060
1802.53 20.368 0.054
1803.54 20.506 0.103
filter V
1781.55 17.861 0.017
1783.56 17.712 0.016
1785.58 17.710 0.014
1786.53 17.714 0.012
1789.58 17.905 0.015
1792.52 18.237 0.015
1793.52 18.377 0.015
1795.52 18.650 0.020
1797.53 18.825 0.048
1798.53 18.893 0.044
1801.56 19.141 0.027
1802.53 19.161 0.026
1803.54 19.206 0.057
1806.53 19.353 0.058
1807.53 19.341 0.065
1808.53 19.461 0.061
1809.53 19.597 0.062
filter r
1781.55 17.984 0.016
1783.56 17.815 0.014
1785.58 17.681 0.011
1786.53 17.674 0.007
1789.58 17.667 0.013
1792.52 17.841 0.012
1793.52 17.970 0.023
1795.52 18.194 0.019
1797.53 18.375 0.012
1798.53 18.454 0.013
1801.56 18.654 0.015
1802.53 18.668 0.026
1803.54 18.766 0.014
1806.53 18.934 0.038
1807.53 19.111 0.058
1808.53 19.017 0.051
1809.53 19.163 0.041
1810.55 19.281 0.033
filter i
1781.55 18.086 0.028
1783.56 17.878 0.016
1785.58 17.790 0.014
1786.53 17.745 0.011
1789.58 17.684 0.011
1792.52 17.781 0.012
1793.52 17.875 0.014
1795.52 18.070 0.023
1797.53 18.201 0.012
1798.53 18.275 0.017
1801.56 18.448 0.016
1802.53 18.456 0.025
1803.54 18.538 0.015
1806.53 18.683 0.038
1807.53 18.719 0.042
1808.53 18.867 0.050
1809.53 18.852 0.035
1810.55 18.874 0.032
