SN2008hu 0.049700 122.311500 -18.653639
filter B
1806.76 18.248 0.011
1810.76 18.397 0.015
1813.76 18.568 0.029
1814.76 18.703 0.025
1818.71 19.250 0.024
1820.78 19.524 0.021
1821.71 19.743 0.020
1824.79 20.097 0.021
1830.67 20.872 0.057
1831.71 20.884 0.048
1834.80 20.985 0.045
1837.78 21.177 0.066
filter V
1806.76 18.143 0.010
1810.76 18.166 0.013
1813.76 18.242 0.019
1814.76 18.370 0.018
1818.71 18.642 0.015
1820.78 18.811 0.014
1821.71 18.892 0.015
1824.79 19.116 0.016
1830.67 19.692 0.021
1831.71 19.838 0.028
1834.80 20.024 0.026
1837.78 20.242 0.042
1839.68 20.270 0.058
1840.68 20.380 0.078
filter r
1806.76 18.018 0.008
1810.76 18.065 0.009
1813.76 18.236 0.014
1814.76 18.348 0.013
1818.71 18.563 0.012
1820.78 18.653 0.013
1821.71 18.654 0.010
1824.79 18.725 0.011
1830.67 19.142 0.014
1831.71 19.209 0.015
1834.80 19.487 0.017
1837.78 19.628 0.021
1839.68 19.704 0.029
1840.68 19.710 0.040
1842.83 19.814 0.058
1844.84 19.859 0.046
filter i
1806.76 18.501 0.013
1810.76 18.574 0.015
1813.76 18.867 0.030
1814.76 19.038 0.032
1818.71 19.247 0.025
1820.78 19.166 0.019
1821.71 19.159 0.018
1824.79 19.034 0.018
1830.67 19.031 0.020
1831.71 18.929 0.031
1834.80 19.429 0.024
1837.78 19.591 0.035
1839.68 19.781 0.036
1840.68 19.755 0.040
1841.68 19.872 0.056
1844.84 20.086 0.056
