SN2008hv 0.012600 136.891917 3.392250
filter B
1806.79 16.416 0.008
1808.81 15.716 0.006
1809.80 15.469 0.006
1810.80 15.285 0.006
1813.79 14.957 0.006
1817.77 14.861 0.009
1818.77 14.871 0.007
1827.76 15.531 0.005
1830.74 15.901 0.007
1831.77 16.049 0.006
1834.83 16.436 0.007
1837.81 16.782 0.008
1838.80 16.896 0.009
1839.76 17.006 0.008
1840.74 17.109 0.011
1841.74 17.239 0.013
1842.86 17.304 0.016
1844.79 17.470 0.017
1856.76 17.976 0.011
1867.71 18.196 0.011
1870.73 18.258 0.022
1874.64 18.332 0.019
1878.65 18.395 0.013
1884.68 18.456 0.012
filter V
1806.79 16.337 0.007
1808.81 15.732 0.005
1809.80 15.491 0.008
1810.80 15.334 0.006
1813.79 15.001 0.006
1817.77 14.865 0.007
1818.77 14.859 0.008
1827.76 15.266 0.004
1830.74 15.460 0.008
1831.77 15.546 0.005
1834.83 15.726 0.007
1837.81 15.907 0.005
1838.80 15.969 0.008
1839.76 16.062 0.007
1840.74 16.144 0.008
1841.74 16.230 0.009
1842.86 16.328 0.009
1844.79 16.485 0.009
1856.76 17.080 0.011
1867.71 17.336 0.011
1870.73 17.494 0.011
1874.64 17.610 0.011
1878.65 17.692 0.012
1884.68 17.814 0.013
filter r
1806.79 16.352 0.011
1808.81 15.733 0.005
1809.80 15.482 0.009
1810.80 15.289 0.009
1813.79 15.016 0.005
1817.77 14.873 0.008
1818.77 14.869 0.008
1827.76 15.436 0.005
1830.74 15.584 0.011
1831.77 15.627 0.008
1834.83 15.670 0.009
1837.81 15.720 0.005
1838.80 15.736 0.009
1839.76 15.788 0.006
1840.74 15.856 0.006
1841.74 15.912 0.009
1842.86 16.002 0.008
1844.79 16.163 0.008
1856.76 16.837 0.012
1867.71 17.183 0.010
1870.73 17.357 0.010
1874.64 17.484 0.010
1878.65 17.584 0.017
1884.68 17.766 0.020
filter i
1806.79 16.669 0.011
1808.81 15.986 0.008
1809.80 15.728 0.011
1810.80 15.551 0.010
1813.79 15.396 0.007
1817.77 15.545 0.009
1818.77 15.538 0.009
1827.76 16.232 0.008
1830.74 16.295 0.011
1831.77 16.293 0.012
1834.83 16.193 0.010
1837.81 16.088 0.007
1838.80 16.047 0.011
1839.76 16.024 0.008
1840.74 16.043 0.009
1841.74 16.072 0.009
1842.86 16.122 0.008
1844.79 16.264 0.009
1856.76 17.055 0.014
1867.71 17.460 0.017
1870.73 17.649 0.016
1874.64 17.786 0.018
1878.65 17.935 0.027
1884.68 18.140 0.027
