SN2009D 0.025000 58.595125 -19.181722
filter B
1834.67 16.213 0.007
1837.72 16.000 0.005
1838.68 15.956 0.007
1839.59 15.919 0.006
1840.62 15.906 0.007
1841.59 15.900 0.008
1842.59 15.925 0.009
1844.64 15.976 0.007
1845.64 16.021 0.005
1848.61 16.200 0.011
1855.61 16.809 0.007
1856.60 16.921 0.010
1859.63 17.256 0.008
1866.59 17.910 0.015
1867.61 17.968 0.014
1870.58 18.228 0.018
1871.57 18.265 0.017
1872.62 18.353 0.028
1874.53 18.506 0.018
1878.53 18.790 0.022
1884.53 19.016 0.031
filter V
1834.67 16.220 0.006
1837.72 16.008 0.004
1838.68 15.966 0.007
1839.59 15.942 0.008
1840.62 15.915 0.007
1841.59 15.900 0.008
1842.59 15.909 0.008
1844.64 15.923 0.007
1845.64 15.939 0.006
1848.61 16.035 0.012
1855.61 16.365 0.004
1856.60 16.454 0.008
1859.63 16.619 0.006
1866.59 16.989 0.007
1867.61 17.035 0.009
1870.58 17.203 0.009
1871.57 17.251 0.011
1872.62 17.316 0.010
1874.53 17.430 0.009
1878.53 17.688 0.007
1884.53 17.945 0.016
filter r
1834.67 16.253 0.006
1837.72 16.057 0.006
1838.68 16.011 0.008
1839.59 15.973 0.006
1840.62 15.957 0.006
1841.59 15.927 0.009
1842.59 15.912 0.008
1844.64 15.910 0.007
1845.64 15.924 0.005
1848.61 16.015 0.009
1855.61 16.420 0.004
1856.60 16.474 0.007
1859.63 16.556 0.004
1866.59 16.698 0.006
1867.61 16.712 0.008
1870.58 16.808 0.008
1871.57 16.836 0.008
1872.62 16.893 0.008
1874.53 16.981 0.008
1878.53 17.241 0.007
1884.53 17.545 0.006
filter i
1834.67 16.565 0.007
1837.72 16.456 0.005
1838.68 16.467 0.008
1839.59 16.470 0.007
1840.62 16.512 0.007
1841.59 16.530 0.015
1842.59 16.569 0.009
1844.64 16.599 0.009
1845.64 16.616 0.005
1848.61 16.723 0.011
1855.61 17.171 0.006
1856.60 17.186 0.009
1859.63 17.163 0.007
1866.59 17.086 0.009
1867.61 17.054 0.008
1870.58 17.061 0.009
1871.57 17.057 0.009
1872.62 17.074 0.008
1874.53 17.122 0.007
1878.53 17.331 0.010
1884.53 17.728 0.010
