SN2009F 0.013000 74.848167 -11.130583
filter B
1837.75 17.749 0.009
1838.71 17.586 0.010
1839.62 17.477 0.011
1840.65 17.378 0.010
1841.65 17.345 0.012
1842.67 17.336 0.013
1845.68 17.575 0.011
1848.67 18.046 0.012
1855.70 19.137 0.025
1856.66 19.248 0.022
1859.68 19.427 0.032
1867.65 19.731 0.066
1870.61 19.898 0.086
1871.66 19.916 0.103
1873.59 19.899 0.053
1879.65 20.125 0.044
1884.63 20.336 0.056
filter V
1837.75 17.324 0.007
1838.71 17.140 0.009
1839.62 16.969 0.008
1840.65 16.843 0.008
1841.65 16.752 0.008
1842.67 16.689 0.009
1845.68 16.672 0.006
1848.67 16.906 0.009
1855.70 17.750 0.010
1856.66 17.839 0.012
1859.68 18.090 0.014
1867.65 18.551 0.022
1870.61 18.695 0.025
1871.66 18.659 0.028
1872.64 18.816 0.037
1873.59 18.834 0.023
1879.65 19.036 0.025
1884.63 19.221 0.023
filter r
1837.75 17.300 0.007
1838.71 17.080 0.007
1839.62 16.915 0.007
1840.65 16.762 0.006
1841.65 16.639 0.006
1842.67 16.530 0.008
1845.68 16.420 0.005
1848.67 16.541 0.008
1855.70 17.232 0.008
1856.66 17.285 0.009
1859.68 17.588 0.009
1867.65 18.141 0.013
1871.66 18.421 0.023
1873.59 18.499 0.015
1879.65 18.882 0.019
1884.63 19.094 0.021
filter i
1837.75 17.320 0.011
1838.71 17.107 0.009
1839.62 16.957 0.009
1840.65 16.783 0.007
1841.65 16.670 0.008
1842.67 16.588 0.009
1845.68 16.456 0.006
1848.67 16.538 0.009
1855.70 16.974 0.008
1856.66 17.111 0.013
1859.68 17.442 0.012
1867.65 17.982 0.015
1871.66 18.241 0.022
1873.59 18.374 0.017
1879.65 18.634 0.021
1884.63 18.861 0.025
