SN2009Y 0.009400 220.599375 -17.246778
filter B
1869.84 14.669 0.006
1871.87 14.469 0.004
1872.87 14.393 0.004
1873.85 14.357 0.007
1874.81 14.341 0.007
1878.87 14.379 0.008
1879.87 14.413 0.004
1884.85 14.705 0.007
1885.81 14.797 0.008
1888.77 15.087 0.004
1896.87 15.930 0.005
1898.82 16.131 0.007
1900.82 16.297 0.009
1902.77 16.468 0.009
1908.80 16.873 0.009
1911.89 17.018 0.009
1914.81 17.112 0.009
1915.83 17.142 0.009
1920.83 17.204 0.010
1927.79 17.287 0.009
1928.81 17.280 0.009
1930.72 17.320 0.013
1933.73 17.315 0.017
1937.82 17.373 0.010
1938.81 17.384 0.009
1947.70 17.494 0.010
1964.66 17.740 0.010
1966.66 17.781 0.011
1968.77 17.806 0.010
1976.65 17.929 0.009
filter V
1869.84 14.599 0.006
1871.87 14.399 0.005
1872.87 14.288 0.006
1873.85 14.224 0.009
1874.81 14.181 0.007
1879.87 14.096 0.004
1884.85 14.209 0.007
1885.81 14.284 0.009
1888.77 14.472 0.005
1896.87 14.897 0.008
1898.82 14.989 0.006
1900.82 15.098 0.009
1902.77 15.194 0.009
1908.80 15.627 0.009
1911.89 15.827 0.009
1914.81 15.964 0.007
1915.83 16.014 0.009
1920.83 16.166 0.010
1927.79 16.347 0.008
1928.81 16.378 0.008
1930.72 16.432 0.009
1933.73 16.482 0.015
1937.82 16.604 0.010
1938.81 16.634 0.008
1947.70 16.855 0.011
1959.67 17.119 0.032
1964.66 17.260 0.009
1966.66 17.278 0.009
1968.77 17.336 0.009
1976.65 17.496 0.009
filter r
1871.87 14.371 0.005
1872.87 14.275 0.006
1873.85 14.218 0.008
1878.87 14.079 0.009
1879.87 14.079 0.004
1884.85 14.264 0.008
1888.77 14.576 0.005
1896.87 14.769 0.007
1898.82 14.779 0.005
1900.82 14.792 0.009
1902.77 14.852 0.008
1908.80 15.206 0.009
1911.89 15.412 0.010
1914.81 15.583 0.006
1915.83 15.635 0.008
1920.83 15.818 0.009
1927.79 16.056 0.007
1928.81 16.100 0.005
1930.72 16.161 0.008
1933.73 16.261 0.011
1937.82 16.373 0.010
1938.81 16.400 0.009
1947.70 16.700 0.009
1963.67 17.188 0.018
1964.66 17.226 0.008
1966.66 17.291 0.009
1968.77 17.345 0.009
1976.65 17.601 0.010
filter i
1869.84 14.936 0.008
1871.87 14.790 0.007
1872.87 14.739 0.006
1873.85 14.723 0.009
1874.81 14.724 0.008
1878.87 14.803 0.009
1879.87 14.827 0.006
1884.85 15.025 0.009
1885.81 15.117 0.009
1888.77 15.391 0.008
1896.87 15.335 0.008
1898.82 15.261 0.009
1900.82 15.212 0.009
1902.77 15.141 0.009
1908.80 15.337 0.009
1911.89 15.580 0.010
1914.81 15.788 0.007
1915.83 15.832 0.009
1920.83 16.083 0.010
1927.79 16.360 0.009
1928.81 16.405 0.008
1930.72 16.462 0.011
1933.73 16.583 0.019
1937.82 16.733 0.011
1938.81 16.794 0.011
1947.70 17.091 0.010
1963.67 17.547 0.042
1964.66 17.637 0.012
1966.66 17.710 0.013
1968.77 17.776 0.013
1976.65 18.022 0.015
