SN2009ab 0.011200 64.151625 2.764167
filter B
1874.57 16.384 0.008
1878.57 15.697 0.007
1879.56 15.597 0.006
1883.53 15.447 0.006
1885.52 15.484 0.006
1888.52 15.636 0.006
1900.53 16.939 0.010
1902.51 17.152 0.014
1908.51 17.774 0.013
1911.51 18.021 0.013
filter V
1874.57 16.220 0.006
1878.57 15.555 0.006
1879.56 15.468 0.005
1883.53 15.275 0.004
1885.52 15.270 0.005
1888.52 15.325 0.005
1900.53 16.052 0.006
1902.51 16.166 0.007
1908.51 16.562 0.007
1911.51 16.774 0.008
filter r
1874.57 16.064 0.009
1878.57 15.422 0.004
1879.56 15.340 0.005
1883.53 15.194 0.005
1885.52 15.182 0.004
1888.52 15.241 0.004
1900.53 15.900 0.005
1902.51 15.937 0.005
1908.51 16.131 0.009
1911.51 16.316 0.005
filter i
1874.57 16.115 0.006
1878.57 15.556 0.004
1879.56 15.513 0.006
1883.53 15.607 0.006
1885.52 15.682 0.005
1888.52 15.772 0.005
1900.53 16.211 0.007
1902.51 16.153 0.007
1908.51 16.131 0.010
1911.51 16.227 0.007
