SN2009ag 0.008600 107.920042 -26.685083
filter B
1888.59 15.445 0.005
1896.64 15.734 0.005
1897.58 15.815 0.005
1898.56 15.906 0.008
1900.59 16.113 0.006
1902.58 16.329 0.007
1908.57 17.004 0.010
1911.60 17.324 0.007
1914.50 17.566 0.008
1915.49 17.658 0.008
1917.51 17.776 0.011
1920.50 17.978 0.010
1927.50 18.319 0.015
1928.49 18.340 0.019
1930.48 18.413 0.021
1931.48 18.417 0.022
1933.49 18.483 0.015
1937.50 18.581 0.016
filter V
1888.59 15.236 0.007
1896.64 15.266 0.005
1897.58 15.304 0.005
1898.56 15.338 0.007
1900.59 15.420 0.010
1902.58 15.548 0.006
1908.57 15.940 0.015
1911.60 16.119 0.006
1914.50 16.281 0.006
1915.49 16.333 0.006
1917.51 16.443 0.008
1920.50 16.616 0.005
1927.50 17.026 0.009
1928.49 17.076 0.010
1930.48 17.170 0.010
1931.48 17.182 0.012
1933.49 17.258 0.010
1937.50 17.374 0.013
filter r
1888.59 15.131 0.007
1896.64 15.134 0.005
1897.58 15.192 0.005
1898.56 15.218 0.006
1900.59 15.334 0.008
1902.58 15.452 0.008
1908.57 15.645 0.010
1911.60 15.741 0.005
1914.50 15.830 0.005
1915.49 15.854 0.009
1917.51 15.939 0.006
1920.50 16.095 0.005
1927.50 16.547 0.006
1928.49 16.592 0.007
1930.48 16.687 0.007
1931.48 16.735 0.009
1933.49 16.811 0.006
1937.50 16.959 0.008
filter i
1888.59 15.431 0.011
1896.64 15.608 0.005
1897.58 15.652 0.006
1898.56 15.698 0.008
1900.59 15.820 0.009
1902.58 15.911 0.009
1908.57 15.884 0.010
1911.60 15.856 0.005
1914.50 15.867 0.006
1915.49 15.858 0.007
1917.51 15.877 0.007
1920.50 15.943 0.005
1927.50 16.386 0.008
1928.49 16.439 0.009
1930.48 16.550 0.008
1931.48 16.584 0.009
1933.49 16.679 0.008
1937.50 16.845 0.009
