SN2009al 0.022100 162.841958 8.578528
filter B
1897.70 16.309 0.009
1898.65 16.343 0.009
1908.63 17.070 0.010
1911.66 17.367 0.012
1917.64 17.985 0.013
1920.62 18.262 0.016
1927.61 18.887 0.053
1930.57 18.994 0.046
1931.57 19.089 0.052
1933.60 19.113 0.037
1937.64 19.171 0.023
1938.62 19.208 0.018
1946.61 19.342 0.021
1947.57 19.354 0.022
filter V
1897.70 16.147 0.006
1898.65 16.144 0.007
1908.63 16.517 0.010
1911.66 16.705 0.009
1914.61 16.887 0.009
1917.64 17.064 0.009
1920.62 17.261 0.012
1927.61 17.827 0.021
1930.57 17.927 0.022
1931.57 18.003 0.021
1933.60 18.080 0.014
1937.64 18.192 0.013
1938.62 18.251 0.012
1946.61 18.446 0.015
1947.57 18.443 0.013
filter r
1898.65 16.216 0.015
1908.63 16.558 0.011
1911.66 16.651 0.010
1914.61 16.708 0.012
1917.64 16.787 0.011
1920.62 16.907 0.016
1927.61 17.392 0.014
1930.57 17.562 0.014
1931.57 17.603 0.014
1933.60 17.689 0.012
1937.64 17.852 0.014
1938.62 17.865 0.011
1946.61 18.154 0.020
1947.57 18.139 0.013
filter i
1898.65 16.638 0.009
1908.63 17.064 0.010
1911.66 17.046 0.009
1914.61 16.966 0.013
1917.64 16.959 0.011
1920.62 16.948 0.012
1927.61 17.298 0.017
1930.57 17.494 0.014
1931.57 17.526 0.015
1933.60 17.640 0.011
1937.64 17.814 0.013
1938.62 17.869 0.013
1946.61 18.154 0.016
1947.57 18.203 0.015
