SN2009dc 0.021400 237.800500 25.707778
filter B
1942.81 15.345 0.006
1946.78 15.268 0.008
1947.77 15.260 0.008
1956.78 15.613 0.006
1959.74 15.803 0.008
1963.75 16.164 0.029
1964.73 16.234 0.012
1966.72 16.366 0.008
1968.73 16.521 0.009
1976.68 17.140 0.007
filter V
1942.81 15.282 0.005
1946.78 15.210 0.006
1947.77 15.204 0.006
1956.78 15.383 0.004
1959.74 15.465 0.006
1963.75 15.688 0.011
1964.73 15.707 0.009
1966.72 15.767 0.006
1968.73 15.861 0.007
1976.68 16.231 0.005
filter r
1942.81 15.368 0.005
1946.78 15.276 0.007
1947.77 15.264 0.006
1956.78 15.392 0.004
1959.74 15.456 0.005
1963.75 15.562 0.006
1964.73 15.569 0.007
1966.72 15.632 0.005
1968.73 15.672 0.006
1976.68 15.891 0.004
filter i
1942.81 15.762 0.006
1946.78 15.685 0.008
1947.77 15.670 0.006
1956.78 15.747 0.005
1959.74 15.809 0.006
1963.75 15.896 0.007
1966.72 15.869 0.006
1968.73 15.856 0.006
1976.68 15.917 0.005
