SN2009ds 0.019300 177.267125 -9.729139
filter B
1956.68 15.755 0.008
1959.57 15.635 0.007
1960.60 15.643 0.009
1963.55 15.677 0.007
1964.54 15.666 0.009
1966.57 15.736 0.009
1968.55 15.828 0.011
1972.56 16.099 0.015
1976.62 16.471 0.016
filter V
1956.68 15.662 0.007
1959.57 15.491 0.006
1960.60 15.518 0.011
1963.55 15.510 0.006
1964.54 15.500 0.013
1966.57 15.547 0.012
1968.55 15.626 0.016
1972.56 15.797 0.018
1976.62 16.073 0.018
filter r
1956.68 15.675 0.009
1959.57 15.521 0.007
1960.60 15.475 0.013
1963.55 15.474 0.011
1964.54 15.453 0.016
1966.57 15.511 0.019
1968.55 15.589 0.024
1972.56 15.832 0.022
1976.62 16.119 0.026
filter i
1956.68 16.105 0.016
1959.57 16.031 0.011
1960.60 16.038 0.019
1963.55 16.150 0.016
1964.54 16.153 0.027
1966.57 16.239 0.025
1968.55 16.225 0.033
1972.56 16.587 0.034
1976.62 16.900 0.039
