Filter,MJD,Mag,Sigma,Code
V,249.79,15.5553585897,0.006,CSP3014
V,250.81,15.610285799,0.009,CSP3014
V,251.83,15.6546473552,0.008,CSP3014
V,252.86,15.6972149114,0.006,CSP3014
V,253.78,15.7411758262,0.006,CSP3014
V,256.75,15.9056439194,0.006,CSP3014
V,257.73,15.961829717,0.008,CSP3014
V,258.76,16.0202536526,0.008,CSP3014
V,259.78,16.0866686843,0.006,CSP3014
V,260.8,16.1625422097,0.008,CSP3014
V,261.71,16.2554054363,0.01,CSP3014
V,262.7,16.3321763972,0.009,CSP3014
V,263.76,16.4469024701,0.013,CSP3014
V,264.75,16.5171833734,0.013,CSP3014
V,265.79,16.5876526414,0.009,CSP3014
V,266.73,16.6620542508,0.007,CSP3014
V,267.74,16.7237518625,0.008,CSP3014
V,268.74,16.7852690544,0.007,CSP3014
V,269.68,16.863463004,0.008,CSP3014
V,270.68,16.8841282768,0.006,CSP3014
V,271.79,16.9206620157,0.007,CSP3014
V,272.78,16.9500793903,0.008,CSP3014
V,273.79,16.9758007903,0.009,CSP3014
V,274.71,17.0001055343,0.009,CSP3014
V,275.74,17.0390680537,0.009,CSP3014
V,276.74,17.0755289545,0.01,CSP3014
V,277.69,17.0840801089,0.016,CSP3014
V,278.77,17.0970186611,0.017,CSP3014
V,279.7,17.1322681988,0.01,CSP3014
V,280.71,17.1834288841,0.011,CSP3014
V,281.72,17.203995164,0.009,CSP3014
V,284.83,17.3029316681,0.01,CSP3014
V,287.69,17.3501746294,0.008,CSP3014
V,289.77,17.3985715315,0.009,CSP3014
V,291.69,17.4546066937,0.008,CSP3014
V,293.73,17.4971035845,0.009,CSP3014
V,294.79,17.5213011062,0.007,CSP3014
V,295.75,17.5365294427,0.011,CSP3014
V,299.69,17.6321126519,0.011,CSP3014
V,324.69,18.189,0.009,CSP3014
V,329.7,18.298,0.013,CSP3014
V,331.62,18.323,0.015,CSP3014
V,341.61,18.55,0.011,CSP3014
V,345.63,18.641,0.012,CSP3014
V,349.61,18.724,0.012,CSP3014
V,365.62,19.051,0.024,CSP3014
i,249.79,16.1533224883,0.008,CSP9844
i,250.81,16.1828673188,0.01,CSP9844
i,251.83,16.1780263196,0.009,CSP9844
i,252.86,16.1798144569,0.007,CSP9844
i,253.78,16.1512821463,0.005,CSP9844
i,256.75,16.0853576849,0.007,CSP9844
i,257.73,16.0929948713,0.009,CSP9844
i,258.76,16.0720188788,0.005,CSP9844
i,259.78,16.0581784217,0.005,CSP9844
i,260.8,16.0623167412,0.009,CSP9844
i,261.71,16.0478419424,0.01,CSP9844
i,262.7,16.0882791471,0.01,CSP9844
i,263.76,16.1615837689,0.016,CSP9844
i,264.75,16.2118273019,0.016,CSP9844
i,265.79,16.2320104734,0.009,CSP9844
i,266.73,16.2956438601,0.005,CSP9844
i,267.74,16.3552374652,0.009,CSP9844
i,268.74,16.4194188407,0.011,CSP9844
i,271.79,16.5845569255,0.009,CSP9844
i,272.78,16.6412112618,0.009,CSP9844
i,273.79,16.6753602842,0.009,CSP9844
i,274.71,16.7246519776,0.008,CSP9844
i,275.74,16.7918162169,0.008,CSP9844
i,276.74,16.8273731255,0.01,CSP9844
i,277.69,16.8597008675,0.019,CSP9844
i,279.7,16.9343119339,0.011,CSP9844
i,280.71,16.9937649149,0.015,CSP9844
i,281.72,17.0327508358,0.01,CSP9844
i,282.69,17.0713971043,0.012,CSP9844
i,284.83,17.1045059033,0.008,CSP9844
i,287.69,17.248319199,0.009,CSP9844
i,289.77,17.3368608165,0.01,CSP9844
i,291.69,17.397303196,0.009,CSP9844
i,293.73,17.4694682732,0.007,CSP9844
i,294.79,17.513250665,0.007,CSP9844
i,295.75,17.5494243726,0.009,CSP9844
i,299.69,17.7307017716,0.016,CSP9844
i,324.69,18.43,0.012,CSP9844
i,329.7,18.588,0.013,CSP9844
i,331.62,18.644,0.017,CSP9844
i,341.61,18.899,0.016,CSP9844
i,345.63,19.062,0.023,CSP9844
i,349.61,19.096,0.016,CSP9844
r,249.79,15.741455317,0.006,CSP9844
r,250.81,15.7768783199,0.008,CSP9844
r,251.83,15.8266299403,0.01,CSP9844
r,252.86,15.8769191482,0.006,CSP9844
r,253.78,15.8635853087,0.006,CSP9844
r,256.75,15.8691839831,0.006,CSP9844
r,257.73,15.8909590128,0.012,CSP9844
r,258.76,15.9118863357,0.006,CSP9844
r,259.78,15.9513856359,0.006,CSP9844
r,260.8,15.9718000768,0.009,CSP9844
r,261.71,15.9948945121,0.009,CSP9844
r,262.7,16.1004736418,0.01,CSP9844
r,263.76,16.1721397887,0.013,CSP9844
r,264.75,16.2021661588,0.011,CSP9844
r,265.79,16.2823087709,0.008,CSP9844
r,266.73,16.3443907963,0.006,CSP9844
r,267.74,16.4289418939,0.006,CSP9844
r,268.74,16.4448105816,0.009,CSP9844
r,271.79,16.6047772328,0.008,CSP9844
r,272.78,16.6611003163,0.009,CSP9844
r,273.79,16.6972770934,0.009,CSP9844
r,274.71,16.7542019029,0.007,CSP9844
r,275.74,16.8003355624,0.008,CSP9844
r,276.74,16.8366097682,0.008,CSP9844
r,277.69,16.8716025285,0.017,CSP9844
r,279.7,16.9350342021,0.009,CSP9844
r,280.71,16.9732881628,0.009,CSP9844
r,281.72,17.0083525141,0.009,CSP9844
r,282.69,17.0290473202,0.009,CSP9844
r,284.83,17.1388460524,0.006,CSP9844
r,287.69,17.1792005458,0.007,CSP9844
r,289.77,17.2671518499,0.009,CSP9844
r,291.69,17.317914537,0.007,CSP9844
r,293.73,17.38599212,0.006,CSP9844
r,294.79,17.4326182829,0.006,CSP9844
r,295.75,17.4286303947,0.008,CSP9844
r,299.69,17.5595906019,0.011,CSP9844
r,323.72,18.212,0.008,CSP9844
r,324.69,18.243,0.01,CSP9844
r,329.7,18.378,0.012,CSP9844
r,331.62,18.458,0.013,CSP9844
r,341.61,18.829,0.012,CSP9844
r,345.63,18.941,0.016,CSP9844
r,349.61,19.036,0.015,CSP9844
r,365.62,19.521,0.028,CSP9844
B,249.79,15.7619439977,0.006,CSP9844
B,250.81,15.843004232,0.008,CSP9844
B,251.83,15.9387595124,0.009,CSP9844
B,252.86,16.0411084184,0.007,CSP9844
B,253.78,16.1092010023,0.014,CSP9844
B,256.75,16.531350251,0.007,CSP9844
B,257.73,16.6719172643,0.008,CSP9844
B,258.76,16.8153194953,0.008,CSP9844
B,259.78,16.9528478592,0.007,CSP9844
B,260.8,17.0810085701,0.008,CSP9844
B,261.71,17.1948995694,0.011,CSP9844
B,262.7,17.3423137262,0.009,CSP9844
B,263.76,17.4684810065,0.014,CSP9844
B,264.75,17.565591838,0.014,CSP9844
B,265.79,17.6649120323,0.013,CSP9844
B,266.73,17.7347165958,0.009,CSP9844
B,267.74,17.8059094578,0.011,CSP9844
B,268.74,17.8676213942,0.009,CSP9844
B,269.68,17.8933635377,0.017,CSP9844
B,270.68,17.9632948578,0.011,CSP9844
B,271.79,17.991927844,0.011,CSP9844
B,272.78,18.0253709495,0.013,CSP9844
B,273.79,18.0667522694,0.012,CSP9844
B,274.71,18.0687545912,0.016,CSP9844
B,275.74,18.1174554207,0.023,CSP9844
B,276.74,18.1447799286,0.026,CSP9844
B,277.69,18.1529096532,0.032,CSP9844
B,279.7,18.16878382,0.019,CSP9844
B,280.71,18.1810812841,0.016,CSP9844
B,281.72,18.2346430944,0.016,CSP9844
B,284.83,18.2641420173,0.013,CSP9844
B,287.69,18.2794051597,0.009,CSP9844
B,289.77,18.3145971855,0.01,CSP9844
