Filter,MJD,Mag,Sigma,Code
V,266.52,17.3571328299,0.01,CSP3014
V,267.52,16.9845781295,0.012,CSP3014
V,268.52,16.6740822212,0.01,CSP3014
V,269.54,16.3581319379,0.012,CSP3014
V,270.55,16.148392142,0.009,CSP3014
V,271.55,15.9888272148,0.01,CSP3014
V,272.55,15.8406257331,0.011,CSP3014
V,273.54,15.7219809259,0.011,CSP3014
V,274.51,15.6178156954,0.011,CSP3014
V,275.52,15.5550330307,0.027,CSP3014
V,276.58,15.4790999923,0.015,CSP3014
V,277.51,15.449679931,0.012,CSP3014
V,278.51,15.4269651997,0.012,CSP3014
V,279.52,15.4046762331,0.01,CSP3014
V,280.51,15.4003658223,0.009,CSP3014
V,281.51,15.4000695664,0.01,CSP3014
V,285.55,15.5609924112,0.056,CSP3014
V,287.56,15.5780598495,0.01,CSP3014
V,288.56,15.6555035548,0.01,CSP3014
V,289.57,15.7099357874,0.01,CSP3014
V,290.57,15.7833075965,0.009,CSP3014
V,291.55,15.8609678394,0.009,CSP3014
V,292.55,15.9409202311,0.01,CSP3014
V,294.5,16.1004072522,0.01,CSP3014
V,295.5,16.1583633667,0.011,CSP3014
V,298.53,16.3547291578,0.012,CSP3014
V,300.51,16.4824356782,0.013,CSP3014
V,301.51,16.5388766273,0.014,CSP3014
V,302.51,16.6157557997,0.013,CSP3014
V,303.51,16.6644561392,0.014,CSP3014
V,304.52,16.7356599359,0.089,CSP3014
V,305.51,16.8259995737,0.017,CSP3014
V,307.55,16.9257593773,0.024,CSP3014
V,308.52,17.0518464712,0.01,CSP3014
V,309.51,17.1152538539,0.011,CSP3014
V,310.52,17.19099182,0.011,CSP3014
V,311.52,17.2300442335,0.011,CSP3014
V,329.53,17.8479397647,0.015,CSP3014
V,341.54,18.1012733976,0.029,CSP3014
i,266.52,17.4195801232,0.007,CSP9844
i,267.52,17.0254193173,0.007,CSP9844
i,268.52,16.7022171655,0.006,CSP9844
i,271.55,16.0650196953,0.004,CSP9844
i,272.55,15.9470517942,0.006,CSP9844
i,273.54,15.8528915786,0.006,CSP9844
i,274.51,15.8041700282,0.004,CSP9844
i,275.52,15.7744276174,0.005,CSP9844
i,276.58,15.7753425657,0.004,CSP9844
i,277.51,15.8094356553,0.007,CSP9844
i,278.51,15.8497358388,0.008,CSP9844
i,279.52,15.8801067313,0.008,CSP9844
i,280.51,15.9038480758,0.004,CSP9844
i,281.51,15.9234916265,0.004,CSP9844
i,282.51,15.9534614308,0.008,CSP9844
i,287.56,16.2089082157,0.004,CSP9844
i,288.56,16.2619252209,0.006,CSP9844
i,289.57,16.2894300692,0.005,CSP9844
i,290.57,16.3099459139,0.004,CSP9844
i,291.55,16.3081473559,0.004,CSP9844
i,292.55,16.2988008076,0.005,CSP9844
i,294.5,16.25873114,0.004,CSP9844
i,295.5,16.2525844699,0.007,CSP9844
i,298.53,16.2361764976,0.008,CSP9844
i,300.51,16.2558159298,0.009,CSP9844
i,301.51,16.2814231567,0.005,CSP9844
i,302.51,16.2898294399,0.004,CSP9844
i,303.51,16.3052269051,0.005,CSP9844
i,304.52,16.3075791521,0.013,CSP9844
i,305.51,16.3913368685,0.007,CSP9844
i,307.55,16.5097454468,0.006,CSP9844
i,308.52,16.6005985864,0.005,CSP9844
i,309.51,16.6779557525,0.007,CSP9844
i,310.52,16.7563611645,0.007,CSP9844
i,311.52,16.8293632672,0.006,CSP9844
i,312.51,16.9000380765,0.007,CSP9844
i,321.54,17.345279777,0.009,CSP9844
i,329.53,17.6529385129,0.011,CSP9844
i,341.54,18.099153945,0.026,CSP9844
r,266.52,17.2302026327,0.004,CSP9844
r,267.52,16.8534163422,0.005,CSP9844
r,268.52,16.5479586325,0.004,CSP9844
r,271.55,15.8690547043,0.004,CSP9844
r,272.55,15.7316447727,0.004,CSP9844
r,273.54,15.6188383064,0.004,CSP9844
r,274.51,15.5344254951,0.004,CSP9844
r,275.52,15.4772753519,0.008,CSP9844
r,276.58,15.4269752802,0.004,CSP9844
r,280.51,15.3559071925,0.004,CSP9844
r,281.51,15.3606904469,0.004,CSP9844
r,287.56,15.6049537631,0.004,CSP9844
r,288.56,15.6716372697,0.004,CSP9844
