Filter,MJD,Mag,Sigma,Code
V,329.83,17.3028457446,0.01,CSP3014
V,330.78,17.3109054106,0.01,CSP3014
V,331.76,17.3124990317,0.009,CSP3014
V,332.75,17.3357542311,0.009,CSP3014
V,333.79,17.3527633034,0.008,CSP3014
V,336.76,17.4984003503,0.011,CSP3014
V,337.78,17.5328080749,0.011,CSP3014
V,340.76,17.7352862176,0.011,CSP3014
V,341.76,17.8137584753,0.009,CSP3014
V,344.75,17.9864044657,0.013,CSP3014
V,345.74,18.0822125502,0.011,CSP3014
V,348.8,18.2528017791,0.013,CSP3014
V,349.79,18.2538655278,0.04,CSP3014
V,352.73,18.4515641648,0.014,CSP3014
V,353.69,18.5460452599,0.015,CSP3014
V,356.76,18.7505146051,0.013,CSP3014
V,361.68,19.0843232407,0.018,CSP3014
V,369.71,19.2479895864,0.036,CSP3014
V,372.71,19.4229807177,0.02,CSP3014
V,373.7,19.4002922826,0.029,CSP3014
V,376.71,19.5227177193,0.024,CSP3014
V,380.72,19.7233136151,0.059,CSP3014
V,381.7,19.5815773814,0.031,CSP3014
V,385.7,19.7800772644,0.026,CSP3014
V,387.71,19.7581504484,0.031,CSP3014
V,390.62,19.8305181767,0.049,CSP3014
V,394.65,19.8847370446,0.069,CSP3014
V,397.66,19.9954305724,0.051,CSP3014
i,329.83,17.8853828441,0.036,CSP9844
i,330.78,17.8174219448,0.013,CSP9844
i,331.76,17.8292632769,0.012,CSP9844
i,332.75,17.8526272054,0.015,CSP9844
i,333.79,17.9237015022,0.013,CSP9844
i,336.76,18.124309037,0.018,CSP9844
i,337.78,18.1574640054,0.017,CSP9844
i,340.76,18.1444701752,0.015,CSP9844
i,341.76,18.1752543837,0.012,CSP9844
i,344.75,18.1419129192,0.014,CSP9844
i,345.74,18.1621656907,0.02,CSP9844
i,348.8,18.1378649511,0.012,CSP9844
i,349.79,18.1739471527,0.02,CSP9844
i,352.73,18.1227346098,0.011,CSP9844
i,353.69,18.1370324566,0.015,CSP9844
i,356.76,18.29779243,0.016,CSP9844
i,361.68,18.7184075266,0.016,CSP9844
i,369.71,19.1786378494,0.04,CSP9844
i,372.71,19.2824949021,0.024,CSP9844
i,373.7,19.3932648439,0.037,CSP9844
i,380.72,19.6282229433,0.06,CSP9844
i,381.7,19.690005937,0.038,CSP9844
i,385.7,19.8257966762,0.038,CSP9844
i,387.71,19.8834012231,0.051,CSP9844
i,394.65,20.1507916897,0.074,CSP9844
i,397.66,20.2289763767,0.056,CSP9844
r,329.83,17.2635580149,0.014,CSP9844
r,330.78,17.2282989743,0.008,CSP9844
r,331.76,17.2420858223,0.01,CSP9844
r,332.75,17.2587924828,0.007,CSP9844
r,333.79,17.2809082739,0.008,CSP9844
r,336.76,17.4326551363,0.012,CSP9844
r,337.78,17.5152873252,0.011,CSP9844
r,340.76,17.6692085362,0.011,CSP9844
r,341.76,17.6558710934,0.018,CSP9844
r,344.75,17.8156621946,0.009,CSP9844
r,345.74,17.8354491841,0.014,CSP9844
r,348.8,17.9097241972,0.011,CSP9844
r,349.79,17.9488416624,0.007,CSP9844
r,352.73,18.0376811461,0.01,CSP9844
r,353.69,18.0878411092,0.01,CSP9844
r,356.76,18.284744989,0.018,CSP9844
r,357.69,18.3676086938,0.015,CSP9844
r,361.68,18.6298432627,0.015,CSP9844
r,369.71,19.0318123842,0.048,CSP9844
r,372.71,19.1061063358,0.016,CSP9844
r,373.7,19.1210282609,0.014,CSP9844
r,376.71,19.1914792317,0.019,CSP9844
r,380.72,19.3033529049,0.026,CSP9844
r,381.7,19.4395246266,0.02,CSP9844
r,385.7,19.3973384008,0.031,CSP9844
r,387.71,19.5564273243,0.021,CSP9844
r,390.62,19.5490194361,0.03,CSP9844
r,397.66,19.8753822656,0.032,CSP9844
B,329.83,17.6176040536,0.009,CSP9844
B,330.78,17.6573402505,0.009,CSP9844
B,331.76,17.7126291785,0.01,CSP9844
B,332.75,17.7816649388,0.013,CSP9844
B,333.79,17.8983593954,0.009,CSP9844
B,336.76,18.1436515,0.015,CSP9844
B,337.78,18.3031969337,0.017,CSP9844
B,340.76,18.6066096267,0.013,CSP9844
B,341.76,18.7317848998,0.015,CSP9844
B,344.75,19.0565480071,0.016,CSP9844
B,345.74,19.1779038736,0.016,CSP9844
B,348.8,19.4940847094,0.019,CSP9844
B,352.73,19.7802887432,0.022,CSP9844
B,353.69,19.8653716396,0.022,CSP9844
B,356.76,20.0493144359,0.022,CSP9844
B,361.68,20.2726248423,0.045,CSP9844
B,369.71,20.5860268601,0.096,CSP9844
B,372.71,20.5869523425,0.055,CSP9844
B,373.7,20.7480872739,0.074,CSP9844
B,376.71,20.7036905286,0.051,CSP9844
B,380.72,20.8253950988,0.164,CSP9844
B,381.7,20.7975797082,0.05,CSP9844
B,385.7,20.7942602648,0.049,CSP9844
B,387.71,20.744757458,0.079,CSP9844
B,390.62,20.8890908914,0.127,CSP9844
B,397.66,20.9913675705,0.137,CSP9844
