Filter,MJD,Mag,Sigma,Code
V,352.85,17.2872931968,0.009,CSP3014
V,353.82,17.2135467923,0.007,CSP3014
V,356.83,17.0664945044,0.008,CSP3014
V,357.77,17.0423259917,0.009,CSP3014
V,361.76,17.1186814939,0.01,CSP3014
V,362.8,17.1541508593,0.009,CSP3014
V,363.79,17.2247475338,0.011,CSP3014
V,365.76,17.3419445699,0.014,CSP3014
V,372.75,17.9386400591,0.013,CSP3014
V,373.79,18.025115491,0.014,CSP3014
V,376.81,18.2487064888,0.014,CSP3014
V,377.74,18.299908997,0.015,CSP3014
V,380.77,18.5654388347,0.036,CSP3014
V,381.76,18.6200536471,0.027,CSP3014
V,383.77,18.7894445892,0.022,CSP3014
V,384.73,18.8802569647,0.037,CSP3014
V,385.76,18.9292052876,0.019,CSP3014
V,386.73,18.968230965,0.021,CSP3014
V,387.75,18.9960740633,0.026,CSP3014
V,388.74,19.1202764243,0.029,CSP3014
V,389.71,19.1292746215,0.03,CSP3014
V,390.7,19.1788502276,0.028,CSP3014
V,391.66,19.1534522772,0.041,CSP3014
V,392.69,19.107615556,0.092,CSP3014
V,393.73,19.2580203755,0.134,CSP3014
V,394.74,19.2743611851,0.075,CSP3014
V,398.7,19.4186843975,0.045,CSP3014
V,400.65,19.4514958636,0.033,CSP3014
V,403.68,19.5355942392,0.017,CSP3014
V,406.68,19.6169291627,0.016,CSP3014
V,407.7,19.6549559219,0.023,CSP3014
V,408.69,19.6955005619,0.017,CSP3014
V,409.68,19.7214048629,0.021,CSP3014
V,410.7,19.7646764091,0.019,CSP3014
V,411.69,19.7521719908,0.022,CSP3014
V,412.68,19.7844783787,0.024,CSP3014
V,415.68,19.881009688,0.017,CSP3014
V,416.7,19.9135428021,0.018,CSP3014
V,417.67,19.9717116004,0.028,CSP3014
V,418.67,19.9383592311,0.027,CSP3014
V,419.73,19.9409449162,0.03,CSP3014
V,420.65,20.0309129877,0.054,CSP3014
V,421.68,19.9564621561,0.111,CSP3014
V,425.63,20.2664456147,0.131,CSP3014
V,426.63,20.2276084234,0.078,CSP3014
V,427.63,20.1280597304,0.067,CSP3014
V,428.58,20.323,0.147,CSP3014
V,429.6,20.362,0.04,CSP3014
V,432.71,20.345,0.044,CSP3014
V,444.6,20.57,0.029,CSP3014
V,445.6,20.688,0.033,CSP3014
V,446.59,20.668,0.05,CSP3014
V,461.56,21.026,0.057,CSP3014
i,352.85,17.4663733088,0.02,CSP9844
i,353.82,17.4650771379,0.009,CSP9844
i,356.83,17.4980519955,0.01,CSP9844
i,357.77,17.5202919996,0.009,CSP9844
i,361.76,17.6822579326,0.012,CSP9844
i,362.8,17.7670574906,0.014,CSP9844
i,363.79,17.8454949327,0.014,CSP9844
i,365.76,17.9543554527,0.017,CSP9844
i,372.75,17.9508579348,0.013,CSP9844
i,373.79,17.939121689,0.014,CSP9844
i,376.81,17.951230113,0.014,CSP9844
i,377.74,17.9577576192,0.014,CSP9844
i,380.77,18.175807611,0.036,CSP9844
i,383.77,18.4708569342,0.049,CSP9844
i,384.73,18.5412896195,0.022,CSP9844
i,385.76,18.6273874224,0.018,CSP9844
i,386.73,18.7134751872,0.019,CSP9844
i,387.75,18.8206605466,0.033,CSP9844
i,388.74,18.7641791131,0.027,CSP9844
i,389.71,18.8658498951,0.031,CSP9844
i,390.7,18.9964993096,0.037,CSP9844
i,391.66,19.0321149134,0.036,CSP9844
i,392.69,19.0242341837,0.051,CSP9844
i,398.7,19.3502988465,0.037,CSP9844
i,400.65,19.4202457757,0.03,CSP9844
i,403.68,19.5068287325,0.019,CSP9844
i,406.68,19.6146449495,0.02,CSP9844
i,407.7,19.6634304403,0.022,CSP9844
i,408.69,19.7001997629,0.024,CSP9844
i,409.68,19.7149686482,0.022,CSP9844
i,410.7,19.7612156501,0.026,CSP9844
i,411.69,19.7896651392,0.032,CSP9844
i,412.68,19.9050952124,0.032,CSP9844
i,415.68,19.9354932777,0.022,CSP9844
i,417.67,20.0273037925,0.026,CSP9844
i,418.67,20.0411799893,0.034,CSP9844
i,419.73,20.0404295294,0.045,CSP9844
i,420.65,20.143649973,0.047,CSP9844
i,425.63,20.2800983213,0.113,CSP9844
i,426.63,20.3230436925,0.065,CSP9844
i,427.63,20.4829956787,0.079,CSP9844
i,432.71,20.453,0.073,CSP9844
i,444.6,20.941,0.061,CSP9844
i,445.6,20.876,0.06,CSP9844
i,446.59,21.025,0.083,CSP9844
i,461.56,21.384,0.094,CSP9844
r,352.85,17.245535028,0.009,CSP9844
r,353.82,17.1638998109,0.006,CSP9844
r,356.83,17.0595348083,0.006,CSP9844
r,357.77,17.0508059228,0.007,CSP9844
r,361.76,17.1142826799,0.009,CSP9844
r,362.8,17.1828673192,0.009,CSP9844
r,363.79,17.2441504138,0.009,CSP9844
r,365.76,17.3680627969,0.011,CSP9844
r,372.75,17.7037748388,0.009,CSP9844
r,373.79,17.7462669564,0.009,CSP9844
r,376.81,17.8920404827,0.01,CSP9844
r,377.74,17.9080597538,0.011,CSP9844
r,380.77,18.2245907471,0.023,CSP9844
r,383.77,18.4709885809,0.021,CSP9844
r,384.73,18.553021386,0.024,CSP9844
r,385.76,18.6038551257,0.013,CSP9844
r,386.73,18.6652067906,0.014,CSP9844
r,387.75,18.7156261675,0.017,CSP9844
r,388.74,18.7655981016,0.017,CSP9844
r,389.71,18.8089943884,0.018,CSP9844
r,390.7,18.8320356771,0.026,CSP9844
r,391.66,18.9175814504,0.029,CSP9844
r,392.69,18.9356899754,0.033,CSP9844
r,393.73,18.9590366256,0.063,CSP9844
r,394.74,19.0726228221,0.057,CSP9844
r,398.7,19.2044567315,0.027,CSP9844
r,400.65,19.2569837899,0.015,CSP9844
r,403.68,19.3639067099,0.011,CSP9844
r,406.68,19.4928192026,0.013,CSP9844
r,407.7,19.4784983719,0.014,CSP9844
r,408.69,19.5490329545,0.014,CSP9844
r,409.68,19.5813582549,0.012,CSP9844
r,410.7,19.6410572871,0.013,CSP9844
r,411.69,19.6857274624,0.017,CSP9844
r,412.68,19.7036111846,0.02,CSP9844
r,415.68,19.8130786917,0.014,CSP9844
r,416.7,19.8416927947,0.016,CSP9844
r,417.67,19.881581678,0.016,CSP9844
r,418.67,19.9342624464,0.019,CSP9844
r,419.73,19.9564705641,0.019,CSP9844
r,420.65,19.9060104879,0.095,CSP9844
r,425.63,20.0885985301,0.064,CSP9844
r,426.63,20.199250513,0.056,CSP9844
r,427.63,20.2519813911,0.045,CSP9844
r,429.6,20.193,0.073,CSP9844
r,432.71,20.285,0.036,CSP9844
r,444.6,20.648,0.031,CSP9844
r,445.6,20.745,0.032,CSP9844
r,446.59,20.802,0.045,CSP9844
r,461.56,21.378,0.065,CSP9844
B,352.85,17.445936709,0.008,CSP9844
B,353.82,17.3751242895,0.007,CSP9844
B,356.83,17.2880802222,0.007,CSP9844
B,357.77,17.322752849,0.008,CSP9844
B,361.76,17.5949550667,0.009,CSP9844
B,362.8,17.7191301451,0.01,CSP9844
B,363.79,17.8390369778,0.012,CSP9844
B,365.76,18.079559168,0.021,CSP9844
B,372.75,19.0028648449,0.026,CSP9844
B,373.79,19.1240350418,0.029,CSP9844
B,376.81,19.4431998453,0.018,CSP9844
B,377.74,19.5185241395,0.021,CSP9844
B,380.77,19.7419828553,0.032,CSP9844
B,381.76,19.8217645792,0.031,CSP9844
B,383.77,19.9325795309,0.031,CSP9844
B,384.73,19.9119333839,0.051,CSP9844
B,385.76,20.013675534,0.022,CSP9844
B,386.73,20.0328485182,0.025,CSP9844
B,387.75,20.0851639067,0.032,CSP9844
B,388.74,20.1962329753,0.04,CSP9844
B,389.71,20.2192310404,0.054,CSP9844
B,390.7,20.1760408829,0.049,CSP9844
B,391.66,20.1583136213,0.073,CSP9844
B,398.7,20.4749403223,0.12,CSP9844
B,400.65,20.3873618981,0.058,CSP9844
B,403.68,20.4831329284,0.031,CSP9844
B,406.68,20.5620832491,0.025,CSP9844
B,407.7,20.5667474873,0.049,CSP9844
B,408.69,20.6407351584,0.031,CSP9844
B,409.68,20.6197231017,0.029,CSP9844
B,410.7,20.6702965377,0.031,CSP9844
B,411.69,20.7088179525,0.047,CSP9844
B,412.68,20.588054127,0.051,CSP9844
B,415.68,20.7029026035,0.027,CSP9844
B,416.7,20.775642719,0.029,CSP9844
B,417.67,20.7612520068,0.038,CSP9844
B,418.67,20.7601259201,0.05,CSP9844
B,419.73,20.7482437061,0.05,CSP9844
